#,Domain,Address,Type,Date
1,maintenance.alipay.com,ternbase.alipay.com.,CNAME,2023-02-23
2,ternbase.alipay.com,gz-rr2.office.spanner.alipaydns.com.,CNAME,2023-02-23
3,global-agna.alipay.com,global-na-inner.alipaydns.com.,CNAME,2023-02-23
4,paygw.alipay.com,gz-lb2.internet-g.spanner.alipaydns.com.,CNAME,2023-02-23
5,pub.alipay.com,pub.alipaydns.com.,CNAME,2023-02-23
6,jz.alipay.com,oneconsole.alipay.com.,CNAME,2023-02-23
7,oneconsole.alipay.com,gz-rr2.office.spanner.alipaydns.com.,CNAME,2023-02-23
8,authzui.alipay.com,auth.alipaydns.com.,CNAME,2023-02-23
9,lc.alipay.com,oneconsole.alipay.com.,CNAME,2023-02-23
10,er.alipay.com,yunfengdieproxy.antfin-inc.com.,CNAME,2023-02-23
11,ilogin.alipay.com,gz-rr2.internet-intl.spanner.alipaydns.com.,CNAME,2023-02-23
12,study.alipay.com,gz-lb2.internet.v6.spanner.alipaydns.com.,CNAME,2023-02-23
13,iclientgw-sea.alipay.com,sg.rr2.internet-intl.spanner.alipaydns.com.,CNAME,2023-02-23
14,iotapi.alipay.com,myh2.alipay.com.,CNAME,2023-02-23
15,bc.alipay.com,ternbase.alipay.com.,CNAME,2023-02-23
16,aboss.cloud.alipay.com,office-oproxy.alipaydns.com.,CNAME,2023-02-23
17,servicemng.cloud.alipay.com,aboss.cloud.alipay.com.,CNAME,2023-02-23
18,emembercenter.alipay.com,gz-lb2.internet-g.spanner.alipaydns.com.,CNAME,2023-02-23
19,slm.alipay.com,acl-rr2.office.spanner.alipaydns.com.,CNAME,2023-02-23
20,spcenter.alipay.com,gz-rr2.internet-g.spanner.alipaydns.com.,CNAME,2023-02-23
21,b2b.alipay.com,rz-lb2.internet.v6.spanner.alipaydns.com.,CNAME,2023-02-23
22,atest.alipay.com,gz-lb2.internet-g.spanner.alipaydns.com.,CNAME,2023-02-23
23,mas.alipay.com,gz-lb2.internet-g.spanner.alipaydns.com.,CNAME,2023-02-23
24,dx.alipay.com,decisionx.alipaydns.com.,CNAME,2023-02-23
25,eve.alipay.com,ternbase.alipay.com.,CNAME,2023-02-23
26,crmhome.alipay.com,gz-lb2.internet.v6.spanner.alipaydns.com.,CNAME,2023-02-23
27,mrmoaprod.alipay.com,gz-lb2.internet-g.spanner.alipaydns.com.,CNAME,2023-02-23
28,open-ph.alipay.com,sg.rr2.internet-intl.spanner.alipaydns.com.,CNAME,2023-02-23
29,terms.alipay.com,terms.alipay.com.w.cdngslb.com.,CNAME,2023-02-23
30,george.alipay.com,sffgroup-george.antfin-inc.com.,CNAME,2023-02-23
31,openauth.alipay.com,rz-lb2.internet-g.spanner.alipaydns.com.,CNAME,2023-02-23
32,love.alipay.com,gz-lb2.internet.v6.spanner.alipaydns.com.,CNAME,2023-02-23
33,d1.alipay.com,done.alipaydns.com.,CNAME,2023-02-23
34,cri.alipay.com,ivrprod.alipaydns.com.,CNAME,2023-02-23
35,long.alipay.com,alipaydwportal.alipaydns.com.,CNAME,2023-02-23
36,fun.alipay.com,cmspromo.alipay.com.,CNAME,2023-02-23
37,cmspromo.alipay.com,gz-lb2.internet-g.spanner.alipaydns.com.,CNAME,2023-02-23
38,www.job.alipay.com,gz-rr2.internet.spanner.alipaydns.com.,CNAME,2023-02-23
39,basement-gzone.alipay.com,gz-rr2.internet-g.spanner.alipaydns.com.,CNAME,2023-02-23
40,ant-iot.alipay.com,gz-rr2.internet-g.spanner.alipaydns.com.,CNAME,2023-02-23
41,nlp.alipay.com,gz-rr2.office.spanner.alipaydns.com.,CNAME,2023-02-23
42,kappa.alipay.com,ternbase.alipay.com.,CNAME,2023-02-23
43,crm.alipay.com,acl-rr2.office.spanner.alipaydns.com.,CNAME,2023-02-23
44,rds.alipay.com,ga-lb2.internet.spanner.alipaydns.com.,CNAME,2023-02-23
45,privacy.alipay.com,antdatacooperation.alipaydns.com.,CNAME,2023-02-23
46,render-origin.alipay.com,gz-lb2.internet-g.spanner.alipaydns.com.,CNAME,2023-02-23
47,renderoffice.alipay.com,renderoffice.alipaydns.com.,CNAME,2023-02-23
48,finquantprod.alipay.com,gz-rr2.office.spanner.alipaydns.com.,CNAME,2023-02-23
49,mystery.alipay.com,finquantprod.alipay.com.,CNAME,2023-02-23
50,consumeweb.alipay.com,rz-lb2.internet-g.spanner.alipaydns.com.,CNAME,2023-02-23
51,cshall.alipay.com,gz-lb2.internet-g.spanner.alipaydns.com.,CNAME,2023-02-23
52,fchelp.cloud.alipay.com,fchelp.cloudarmour-internet.alipaydns.com.,CNAME,2023-02-23
53,excashier.alipay.com,alipay-excashier.alipaydns.com.,CNAME,2023-02-23
54,authet15.alipay.com,et15-rr2.internet.spanner.alipaydns.com.,CNAME,2023-02-23
55,authet93.alipay.com,authet15.alipay.com.,CNAME,2023-02-23
56,surveys.alipay.com,gz-rr2.internet-g.spanner.alipaydns.com.,CNAME,2023-02-23
57,leads.alipay.com,ternbase.alipay.com.,CNAME,2023-02-23
58,sitebuilder.alipay.com,gz-lb2.office.spanner.alipaydns.com.,CNAME,2023-02-23
59,personalweb.alipay.com,rz-lb2.internet-g.spanner.alipaydns.com.,CNAME,2023-02-23
60,drillcenter.alipay.com,gz-rr2.office.spanner.alipaydns.com.,CNAME,2023-02-23
61,club3.alipay.com,union.alipaydns.com.,CNAME,2023-02-23
62,securityexprod.alipay.com,gz-rr2.internet.spanner.alipaydns.com.,CNAME,2023-02-23
63,application.alipay.com,bigfishweb.alipay.com.,CNAME,2023-02-23
64,bigfishweb.alipay.com,bigfishweb.alipaydns.com.,CNAME,2023-02-23
65,argus.alipay.com,ternbase.alipay.com.,CNAME,2023-02-23
66,cn-shanghai-nf-daas.cloud.alipay.com,dpc-shnf.cloudarmour-internet.alipaydns.com.,CNAME,2023-02-23
67,secclientgw.alipay.com,gz-lb1.internet-g.spanner.alipaydns.com.,CNAME,2023-02-23
68,xj.alipay.com,ternbase.alipay.com.,CNAME,2023-02-23
69,jiankong.alipay.com,mmonitormng.alipay.com.,CNAME,2023-02-23
70,mmonitormng.alipay.com,mmonitormng.alipaydns.com.,CNAME,2023-02-23
