#,Domain,Address,Type,Date
1,www.baiying.cn,39.103.32.84,A,2023-02-19
2,bysso.baiying.cn,lvs.lenovo.com.cn.,CNAME,2023-02-19
3,reg.baiying.cn,43.255.226.14,A,2023-02-18
4,rr.baiying.cn,146.196.114.128,A,2023-02-18
5,s.baiying.cn,43.255.226.14,A,2023-02-18
6,invoice.baiying.cn,43.255.226.14,A,2023-02-18
7,i.baiying.cn,43.255.226.14,A,2023-02-18
8,jf.baiying.cn,43.255.226.14,A,2022-11-20
9,shop.baiying.cn,39.103.32.84,A,2022-11-18
10,zc.baiying.cn,182.92.199.163,A,2022-11-14
11,coupon.baiying.cn,43.255.226.14,A,2022-11-10
12,mail.baiying.cn,39.96.55.243,A,2022-11-10
13,orderjf.baiying.cn,43.255.226.14,A,2022-11-10
14,bysso.baiying.cn,lvs-dy-a-outer.lefile.cn,CNAME,2021-11-15
15,bysso.baiying.cn,lvs.lenovo.com.cn,CNAME,2021-11-15
16,ec.baiying.cn,43.255.226.122,A,2021-11-15
17,m.baiying.cn,43.255.226.14,A,2021-11-05
18,cart.baiying.cn,43.255.226.14,A,2021-11-05
19,mrr.baiying.cn,146.196.114.128,A,2021-08-12
