#,Domain,Address,Type,Date
1,youpiao.ctrip.com,slb-01-xy5-rb5-c11954.ctripgslb.com.,CNAME,2023-02-23
2,alibb.hotels.ctrip.com,base.ctrip.com.,CNAME,2023-02-23
3,base.ctrip.com,slb-01-xy5-rb5.ctripgslb.com.,CNAME,2023-02-23
4,techcampus.ctrip.com,slb-01-xy5-rb5-c11954.ctripgslb.com.,CNAME,2023-02-23
5,zhair.flights.ctrip.com,slb-01-xy5-rb5-c11954.ctripgslb.com.,CNAME,2023-02-23
6,carpms.ctrip.com,slb-03-xy5-rb5-c11954.ctripgslb.com.,CNAME,2023-02-23
7,wei.kefu.ctrip.com,slb-02-xy5-rb5-c11954.ctripgslb.com.,CNAME,2023-02-23
8,metric.ctrip.com,slb-04-xy5-rb5-c11954.ctripgslb.com.,CNAME,2023-02-23
9,appd.ctrip.com,appd.ctrip.com.ctripgslb.com.,CNAME,2023-02-23
10,wwww.ctrip.com,base.ctrip.com.,CNAME,2023-02-23
11,ad301.ctrip.com,base.ctrip.com.,CNAME,2023-02-23
12,3g.ctrip.com,slb-03-xy5-rb5.ctripgslb.com.,CNAME,2023-02-23
13,top.ctrip.com,slb-04-xy5-rb5.ctripgslb.com.,CNAME,2023-02-23
14,eplan.hotels.ctrip.com,base.ctrip.com.,CNAME,2023-02-23
15,tvair.flights.ctrip.com,slb-01-xy-c11954.ctripgslb.com.,CNAME,2023-02-23
16,paymentvoucher.ctrip.com,slb-pci-01-xy5-rb5-c11954.ctripgslb.com.,CNAME,2023-02-23
17,mbooking.ctrip.com,slb-02-xy5-rb5-c11954.ctripgslb.com.,CNAME,2023-02-23
18,zhixing.ctrip.com,slb-02-xy5-rb5-c11954.ctripgslb.com.,CNAME,2023-02-23
19,ctriperim.ctrip.com,ctriperim3.ctrip.com.,CNAME,2023-02-23
20,ctriperim3.ctrip.com,ctriperim3.ctrip.com.dr.ctripgslb.com.,CNAME,2023-02-23
