#,Domain,Address,Type,Date
1,cat.dev.epet.com,223.6.249.5,A,2023-02-19
2,mallapi.dev.epet.com,223.6.249.5,A,2023-02-18
3,cat.dev.epet.com,2400:3200:1300::c81,AAAA,2023-02-13
4,1111.epet.com,1111.epet.com.w.kunlungr.com.,CNAME,2023-02-13
5,box.dev.epet.com,223.6.249.5,A,2023-02-09
6,pet.dev.epet.com,2400:3200:1300::c81,AAAA,2023-02-03
7,sale.epet.com,2400:3200:1500::230,AAAA,2023-02-03
8,passport.epet.com,118.31.33.77,A,2022-11-19
9,api.epet.com,dkg9razbifekyepuv2ruifsrpmsmppgr.alicloudwaf.com.,CNAME,2022-11-18
10,item.epet.com,item.epet.com.w.kunlungr.com.,CNAME,2022-11-16
11,my.epet.com,118.31.33.77,A,2022-11-15
12,www.dev.epet.com,116.62.24.69,A,2022-11-13
13,wap.epet.com,wap.epet.com.w.kunlungr.com.,CNAME,2022-11-13
14,sec.epet.com,sec.epet.com.m.alikunlun.com.,CNAME,2022-11-10
15,sale.epet.com,118.31.33.77,A,2022-11-10
16,fish.epet.com,fish.epet.com.m.alikunlun.com.,CNAME,2022-11-10
17,pet.dev.epet.com,223.6.249.5,A,2022-11-07
18,www.epet.com,www.epet.com.w.kunlunhuf.com,CNAME,2021-11-11
19,zhishi.epet.com,114.55.182.120,A,2021-11-06
20,www.viptail.epet.com,47.110.166.135,A,2021-11-06
21,www.epet.com,www.epet.com.w.kunlunhuf.com.,CNAME,2021-11-06
22,www.dev.epet.com,d2a45ujykgmzo1fvroah5ikyibrcf63b.aliyundunwaf.com.,CNAME,2021-11-06
23,wap.dev.epet.com,ymoxrxwfhybuzepft5juspws3dmg5ubv.aliyundunwaf.com.,CNAME,2021-11-06
24,sale.epet.com,sale.epet.com.w.kunlungr.com.,CNAME,2021-11-06
25,pet.dev.epet.com,d2a45ujykgmzo1fvroah5ikyibrcf63b.aliyundunwaf.com.,CNAME,2021-11-06
26,passport.epet.com,kisbqem4fe7nv0n9xzxir4hcxfojagaa.aliyundunwaf.com.,CNAME,2021-11-06
27,my.epet.com,dtihsvz1bx1px8qevtbwi5mjkuqmjfew.alicloudwaf.com.,CNAME,2021-11-06
28,my.dev.epet.com,d2a45ujykgmzo1fvroah5ikyibrcf63b.aliyundunwaf.com.,CNAME,2021-11-06
29,mallapi.dev.epet.com,0rl1ydsqt61owk82rcyfdntorg9ulmvb.yundunwaf.com.,CNAME,2021-11-05
30,mall.api.epet.com,rd8zr5qcctgt7cbtd9rsjnri3n62urlv.alicloudwaf.com.,CNAME,2021-11-05
31,list.epet.com,bglserog2guxeahaxpfbdv5ns16kckoq.yundunwaf2.com.,CNAME,2021-11-05
32,epet.com,118.178.109.226,A,2021-11-05
33,cat.dev.epet.com,d2a45ujykgmzo1fvroah5ikyibrcf63b.aliyundunwaf.com.,CNAME,2021-11-05
34,cat.epet.com,cat.epet.com.w.kunlungr.com.,CNAME,2021-11-05
35,box.dev.epet.com,d2a45ujykgmzo1fvroah5ikyibrcf63b.aliyundunwaf.com.,CNAME,2021-11-04
36,616.epet.com,616.epet.com.w.kunlunar.com.,CNAME,2021-11-04
