#,Domain,Address,Type,Date
1,campus.iflytek.com,7582ce2fb476e8318534987aa05035b3.iflysec.com.,CNAME,2023-02-23
2,iptv.iflytek.com,4b166e411c95c57d6468e542f101616f.iflysec.com.,CNAME,2023-02-23
3,log.iflytek.com,667ffed89a65d58dc03d06c9d4feae9d.iflysec.com.,CNAME,2023-02-19
4,candidate.iflytek.com,36.7.68.241,A,2023-02-19
5,yd.iflytek.com,f673137aec438c8df56e918382e74576.iflysec.com.,CNAME,2023-02-17
6,ainote.iflytek.com,0f7155a74663653a3bf8ba3a131160d5.iflysec.com.,CNAME,2023-02-08
7,pwd.iflytek.com,36.33.216.68,A,2023-01-30
8,cms1.vc.iflytek.com,220.178.67.220,A,2023-01-30
9,mouse.iflytek.com,114.55.200.161,A,2023-01-30
10,support.iflytek.com,61.191.24.237,A,2022-11-20
11,voicebook.iflytek.com,103.8.32.145,A,2022-11-20
12,human.iflytek.com,803e871fe214ddf2f49d972b5e6ef755.iflysec.com.,CNAME,2022-11-17
13,liusheng.iflytek.com,60.205.86.95,A,2022-11-16
14,liusheng.iflytek.com,60.205.86.94,A,2022-11-16
15,ebglog.iflytek.com,188.131.208.234,A,2022-11-15
16,1024.iflytek.com,dc7574e5744e66a52d7ec4a2bf001c87.iflysec.com.,CNAME,2022-11-15
17,itest.iflytek.com,31273ace1706fc1fcdcfd5b9bdc4d7e0.iflysec.com.,CNAME,2022-11-13
18,mp.iflytek.com,ec0734669eae43e6021e81c6e7a34868.iflysec.com.,CNAME,2022-11-10
19,candidate.iflytek.com,112.31.1.183,A,2022-11-09
20,yx.iflytek.com,121.199.251.82,A,2022-11-08
21,sso.iflytek.com,112.31.1.183,A,2022-11-08
22,sjdgt.iflytek.com,218.200.229.188,A,2022-11-07
23,pwd.iflytek.com,112.31.1.183,A,2022-11-06
24,www.iflytek.com,2d97971851d19186d9219db2b3ba6c9e.iflysec.com,CNAME,2021-11-14
25,www.iflytek.com,42.62.43.138,A,2021-11-11
26,zhiyuan.iflytek.com,0c4775c8a67d685c093fecd5b55a4649.iflysec.com.,CNAME,2021-11-06
27,zdglxt.iflytek.com,112.31.1.183,A,2021-11-06
28,yysrobot.iflytek.com,124.243.234.2,A,2021-11-06
29,wiki.asic.iflytek.com,210.22.176.78,A,2021-11-06
30,tv.iflytek.com,58.67.161.156,A,2021-11-06
31,testbox.iflytek.com,2e50cf96967536f9c3a2e45b2c50a67b.iflysec.com.,CNAME,2021-11-06
32,sso.iflytek.com,47.89.193.13,A,2021-11-06
33,ptts.iflytek.com,60.205.86.95,A,2021-11-06
34,ptts.iflytek.com,60.205.86.94,A,2021-11-06
35,mail.iflytek.com,36.7.172.15,A,2021-11-05
36,logconf.iflytek.com,4f1ce6750872d196da07ad1f1ad42079.iflysec.com.,CNAME,2021-11-05
37,kefu.iflytek.com,c9f85a58f9a5611c78e9b06bbf1277f3.iflysec.com.,CNAME,2021-11-05
38,kcloudtest.iflytek.com,965f6d3fc817e7ade2ede077105a0dbf.iflysec.com.,CNAME,2021-11-05
39,join.iflytek.com,36.7.172.18,A,2021-11-05
40,iflyapp.iflytek.com,112.31.1.183,A,2021-11-05
41,expe.vc.iflytek.com,220.178.67.164,A,2021-11-05
42,ecl.iflytek.com,211.138.182.172,A,2021-11-05
43,drassistant.iflytek.com,36.7.109.135,A,2021-11-05
44,console.iflytek.com,98fbfb69264b32f05c3231ef6aa9447c.iflysec.com.,CNAME,2021-11-05
45,cogskl.iflytek.com,36.7.109.160,A,2021-11-05
46,campus.iflytek.com,112.31.1.183,A,2021-11-05
47,ailegal.iflytek.com,114.118.67.20,A,2021-11-04
48,iflytek.com,mail.iflytek.com.,MX,2021-11-03
49,imo1.iflytek.com,imo1.lvs.iflytek.com.,CNAME,2021-11-02
50,changyan.iflytek.com,6c6fa2b2cbb6b92574d0a5a9c39354d6.iflysec.com.,CNAME,2021-11-02
51,zhiyuan.iflytek.com,0c4775c8a67d685c093fecd5b55a4649.iflysec.com,CNAME,2021-10-06
52,yd.iflytek.com,f673137aec438c8df56e918382e74576.iflysec.com,CNAME,2021-10-06
53,testbox.iflytek.com,2e50cf96967536f9c3a2e45b2c50a67b.iflysec.com,CNAME,2021-10-06
54,mp.iflytek.com,ec0734669eae43e6021e81c6e7a34868.iflysec.com,CNAME,2021-10-05
55,log.iflytek.com,667ffed89a65d58dc03d06c9d4feae9d.iflysec.com,CNAME,2021-10-05
56,logconf.iflytek.com,4f1ce6750872d196da07ad1f1ad42079.iflysec.com,CNAME,2021-10-05
57,kcloudtest.iflytek.com,965f6d3fc817e7ade2ede077105a0dbf.iflysec.com,CNAME,2021-10-05
58,iptv.iflytek.com,4b166e411c95c57d6468e542f101616f.iflysec.com,CNAME,2021-10-05
59,console.iflytek.com,98fbfb69264b32f05c3231ef6aa9447c.iflysec.com,CNAME,2021-10-05
60,ainote.iflytek.com,0f7155a74663653a3bf8ba3a131160d5.iflysec.com,CNAME,2021-10-04
61,1024.iflytek.com,dc7574e5744e66a52d7ec4a2bf001c87.iflysec.com,CNAME,2021-10-04
62,iflytek.com,mail.iflytek.com,MX,2021-10-03
63,kefu.iflytek.com,c9f85a58f9a5611c78e9b06bbf1277f3.iflysec.com,CNAME,2021-10-02
64,itest.iflytek.com,31273ace1706fc1fcdcfd5b9bdc4d7e0.iflysec.com,CNAME,2021-10-02
65,imo1.iflytek.com,imo1.lvs.iflytek.com,CNAME,2021-10-02
66,human.iflytek.com,803e871fe214ddf2f49d972b5e6ef755.iflysec.com,CNAME,2021-10-02
67,changyan.iflytek.com,6c6fa2b2cbb6b92574d0a5a9c39354d6.iflysec.com,CNAME,2021-10-02
68,iflybudstest.iflytek.com,2001:470:18:14a2::2,AAAA,2021-10-01
69,zdglxt.iflytek.com,117.71.53.47,A,2021-09-05
70,in.iflytek.com,117.71.53.47,A,2021-09-04
71,iflyapp.iflytek.com,117.71.53.47,A,2021-09-04
72,hr.iflytek.com,117.71.53.47,A,2021-09-04
73,candidate.iflytek.com,117.71.53.47,A,2021-09-03
74,campus.iflytek.com,117.71.53.47,A,2021-09-03
