#,Domain,Address,Type,Date
1,cosmos-cv-overseas-api.immomo.com,cosmos-nginx-internet-b356ff225cdbb59a.elb.ap-southeast-1.amazonaws.com.,CNAME,2023-02-23
2,ipv6-detect-a2.immomo.com,2408:4000:300::269,AAAA,2023-02-23
3,live-log.immomo.com,47.95.137.12,A,2023-02-19
4,s-ad.immomo.com,10.83.203.53,A,2023-02-18
5,moji.immomo.com,43.231.168.200,A,2023-02-18
6,s-aws.immomo.com,nginx-static-src-4b80936a11a11b46.elb.ap-southeast-1.amazonaws.com.,CNAME,2023-02-18
7,harmony.immomo.com,39.105.17.87,A,2023-02-18
8,harmony.immomo.com,123.56.30.134,A,2023-02-18
9,harmony.immomo.com,47.93.21.158,A,2023-02-18
10,harmony.immomo.com,47.95.206.191,A,2023-02-18
11,harmony.immomo.com,47.94.218.29,A,2023-02-18
12,ap.immomo.com,43.231.168.10,A,2023-02-18
13,img.immomo.com,img.immomo.com.cdn.dnsv1.com.,CNAME,2023-02-17
14,api-log.immomo.com,39.107.103.7,A,2023-02-17
15,api-log.immomo.com,39.107.77.202,A,2023-02-17
16,api-log.immomo.com,39.107.76.224,A,2023-02-17
17,download.immomo.com,43.231.168.211,A,2023-02-08
18,dl-cc.immomo.com,43.231.168.211,A,2023-01-30
19,live-web.immomo.com,39.106.149.226,A,2023-01-30
20,ad-admin.immomo.com,43.231.168.221,A,2022-11-20
21,audio-spam.immomo.com,47.94.215.251,A,2022-11-20
22,live-test.immomo.com,47.94.123.122,A,2022-11-20
23,pay-beta.immomo.com,182.92.210.211,A,2022-11-20
24,cn8.immomo.com,43.231.168.211,A,2022-11-20
25,grapi.immomo.com,43.231.168.222,A,2022-11-20
26,developer.immomo.com,43.231.168.210,A,2022-11-20
27,ir.immomo.com,momoinc.gcs-web.com.,CNAME,2022-11-19
28,dl.immomo.com,dl.immomo.com.cdn.dnsv1.com.,CNAME,2022-11-19
29,cosmos-compass-api.immomo.com,112.126.92.216,A,2022-11-19
30,cosmos-compass-api.immomo.com,43.231.168.216,A,2022-11-19
31,cosmos-im-api.immomo.com,43.231.168.216,A,2022-11-19
32,schedule-media.immomo.com,47.91.173.37,A,2022-11-19
33,onelink-api.immomo.com,39.107.209.71,A,2022-11-18
34,pay-center.immomo.com,43.231.168.213,A,2022-11-18
35,marry-api.immomo.com,43.231.168.219,A,2022-11-18
36,game.immomo.com,47.91.173.37,A,2022-11-18
37,mail.immomo.com,43.231.167.10,A,2022-11-18
38,aegis.immomo.com,101.200.135.76,A,2022-11-17
39,immomo.com,43.231.168.211,A,2022-11-17
40,paas-push-api-log-hw.immomo.com,cosmos-nginx-internet-b356ff225cdbb59a.elb.ap-southeast-1.amazonaws.com.,CNAME,2022-11-16
41,hr-beta.immomo.com,10.30.60.102,A,2022-11-16
42,cosmos-im-web-hw.immomo.com,cosmos-nginx-internet-b356ff225cdbb59a.elb.ap-southeast-1.amazonaws.com.,CNAME,2022-11-15
43,s.immomo.com,39.107.192.238,A,2022-11-15
44,pc.immomo.com,43.231.168.219,A,2022-11-15
45,bi.immomo.com,43.231.168.210,A,2022-11-15
46,file-api.immomo.com,47.91.173.37,A,2022-11-15
47,fproject.immomo.com,47.94.243.22,A,2022-11-15
48,game-g.immomo.com,cdn-staticfile-game-eaf7419237412097.elb.ap-southeast-1.amazonaws.com.,CNAME,2022-11-14
49,voga-api-online.immomo.com,nginx-voga-internet-b5b3e91e2fb60472.elb.ap-southeast-1.amazonaws.com.,CNAME,2022-11-14
50,paas-push-api-hw.immomo.com,cosmos-nginx-internet-b356ff225cdbb59a.elb.ap-southeast-1.amazonaws.com.,CNAME,2022-11-13
