#,Domain,Address,Type,Date
1,m.kuaishou.com,sfsc.gifshow.com.,CNAME,2023-02-23
2,live-ws-pg-group8.kuaishou.com,sftx-livewss.gifshow.com.,CNAME,2023-02-23
3,captcha.zt.kuaishou.com,bjpg-incu.gifshow.com.,CNAME,2023-02-23
4,darwin.kuaishou.com,bjm7-incu.gifshow.com.,CNAME,2023-02-23
5,cp.kuaishou.com,bjm7-incu.gifshow.com.,CNAME,2023-02-23
6,l2.kuaishou.com,bjpg-incu.ksapisrv.com.,CNAME,2023-02-23
7,verify.kuaishou.com,sfsc.gifshow.com.,CNAME,2023-02-23
8,ir.kuaishou.com,kuaishou.gcs-web.com.,CNAME,2023-02-23
9,healthy.kuaishou.com,bjm7-incu.gifshow.com.,CNAME,2023-02-23
10,tddznew.kuaishou.com,m7-kix.gifshow.com.,CNAME,2023-02-23
11,zhaopin.kuaishou.com,un2w3sq85791vg9r.aliyunddos1002.com.,CNAME,2023-02-23
12,bjm7-kix.kuaishou.com,m7-kix.gifshow.com.,CNAME,2023-02-23
13,feedback.kuaishou.com,webh5.kuaishou.com.,CNAME,2023-02-23
14,wallet.m.kuaishou.com,multi-az-pay.kuaishoupay.com.,CNAME,2023-02-23
15,b-verify.kuaishou.com,multi-az-ad.kuaishou.com.,CNAME,2023-02-23
16,webh5.kuaishou.com,103.102.200.6,A,2023-02-19
17,webh5.kuaishou.com,103.107.219.28,A,2023-02-19
18,sftx-webh5.kuaishou.com,62.234.225.115,A,2023-02-18
19,sftx-webh5.kuaishou.com,152.136.238.15,A,2023-02-18
20,csplog.kuaishou.com,bjm7-incu.gifshow.com.,CNAME,2023-02-18
21,f.kuaishou.com,pg-kix.gifshow.com.,CNAME,2023-02-18
22,v.kuaishou.com,m.kuaishou.com.,CNAME,2023-02-18
23,ad.styz.kuaishou.com,multi-az-eshop.kwaixiaodian.com.,CNAME,2023-02-17
24,c.kuaishou.com,sfsc.gifshow.com.,CNAME,2023-02-17
25,daxue.kuaishou.com,181axo1sg064g217.aliyunddos1002.com.,CNAME,2023-02-17
26,multi-az-ad.kuaishou.com,103.102.200.30,A,2023-02-17
27,multi-az-ad.kuaishou.com,103.107.219.5,A,2023-02-17
28,page.e.kuaishou.com,multi-az-eshop.kwaixiaodian.com.,CNAME,2023-02-17
29,kim.corp.kuaishou.com,multil-az-ee.kwaitalk.com.,CNAME,2023-02-13
30,webview-b.e.kuaishou.com,multi-az-ad.kuaishou.com.,CNAME,2023-02-13
31,error.corp.kuaishou.com,ksap.corp.kuaishou.com.,CNAME,2023-02-13
32,sdzw.kuaishou.com,pg-kix.ksapisrv.com.,CNAME,2023-02-13
33,university.kuaishou.com,bjm7-incu.gifshow.com.,CNAME,2023-02-13
34,app.m.kuaishou.com,sfcpwg.gifshow.com.,CNAME,2023-02-08
35,multi-region.kuaishou.com,103.107.219.38,A,2023-02-08
36,multi-region.kuaishou.com,103.107.219.48,A,2023-02-08
37,multi-region.kuaishou.com,103.102.200.38,A,2023-02-08
38,multi-region.kuaishou.com,103.102.200.48,A,2023-02-08
