#,Domain,Address,Type,Date
1,m2kgshow.kugou.com,m2kgshow.kugou.com.wswebcdn.com.,CNAME,2023-02-23
2,kgnop2.kugou.com,kgnop.hongkong.kugou.com.,CNAME,2023-02-23
3,mcloudservice.kugou.com,kgnop2.kugou.com.,CNAME,2023-02-23
4,m1fanxingquic.kugou.com,m1fanxingquic.kugou.com.wsglb0.com.,CNAME,2023-02-23
5,public.service.kugou.com,kgnop2.kugou.com.,CNAME,2023-02-23
6,duanku.kugou.com,kgnop2.kugou.com.,CNAME,2023-02-23
7,imge.ali.kugou.com,imge.ali.kugou.com.w.alikunlun.com.,CNAME,2023-02-23
8,relation.user.kugou.com,kgnop2.kugou.com.,CNAME,2023-02-23
9,coolimgbssdl.kugou.com,coolimgbssdl.kugou.com.wswebcdn.com.,CNAME,2023-02-23
10,fx.service.kugou.com,fx.service.kugou.com.wsglb0.com.,CNAME,2023-02-23
11,acsing.kugou.com,acsing.kugou.com.wsglb0.com.,CNAME,2023-02-23
12,expendablekmrcdnretry.kugou.com,expendablekmrcdnretry.kugou.com.wswebcdn.com.,CNAME,2023-02-23
13,mobilering.kugou.com,mobilering.kugou.com.wswebcdn.com.,CNAME,2023-02-23
14,media.store.kugou.com,kgnop2.kugou.com.,CNAME,2023-02-23
15,www.sou.5sing.kugou.com,kg5sing.kugou.com.,CNAME,2023-02-23
16,kg5sing.kugou.com,kgnop2.kugou.com.,CNAME,2023-02-23
17,smtp.kugou.com,smtp.qiye.163.com.,CNAME,2023-02-23
18,m3ws.kugou.com,kgnop2.kugou.com.,CNAME,2023-02-23
19,zhiboserver.kuwo.cn.kugou.com,zhiboserver.kuwo.cn.wswebcdn.com.,CNAME,2023-02-23
20,pigeon.service.kugou.com,pigeon.service.kugou.com.wsglb0.com.,CNAME,2023-02-23
21,expendablekmrcdn.kugou.com,expendablekmrcdn.kugou.com.wswebcdn.com.,CNAME,2023-02-23
22,mcloudserviceretry.kugou.com,kgnop3.kugou.com.,CNAME,2023-02-23
23,kmrcdn.service.kugou.com,kmrcdn.service.kugou.com.wsglb0.com.,CNAME,2023-02-23
24,toolsretry.kugou.com,kgnop3.kugou.com.,CNAME,2023-02-23
25,kgnop3.kugou.com,kgnop.hongkong.kugou.com.,CNAME,2023-02-23
26,fs.pc.kugou.com,fs.pc.kugou.com.cdn.dnsv1.com.,CNAME,2023-02-23
27,login.user.kugou.com,kgnop.hongkong.kugou.com.,CNAME,2023-02-23
28,fmonline.kugou.com,kgnop3.kugou.com.,CNAME,2023-02-23
29,barrage.kugou.com,kgnop3.kugou.com.,CNAME,2023-02-23
30,exceptionlog.kugou.com,mobilelog.kugou.com.,CNAME,2023-02-23
31,ktv.kugou.com,kgnop.hongkong.kugou.com.,CNAME,2023-02-23
32,singerimg.kugou.com,singerimg.kugou.com.w.kunluncan.com.,CNAME,2023-02-22
33,fanxing.kugou.com,fanxing.kugou.com.wsglb0.com.,CNAME,2023-02-22
34,fx1.service.kugou.com,fx1.service.kugou.com.wsglb0.com.,CNAME,2023-02-19
35,fxservice1.kugou.com,kgnop3.kugou.com.,CNAME,2023-02-19
36,kgnop.hongkong.kugou.com,122.10.103.133,A,2023-02-19
37,kgnop.hongkong.kugou.com,122.10.103.131,A,2023-02-19
38,kgnop.hongkong.kugou.com,122.10.103.132,A,2023-02-19
39,ringimgbssdl.kugou.com,ringimgbssdl.kugou.com.w.kunluncan.com.,CNAME,2023-02-19
40,ksong.bssdl.kugou.com,ksong.bssdl.kugou.com.wsglb0.com.,CNAME,2023-02-19
41,fxproxy01.fanxing.kugou.com,49.7.78.19,A,2023-02-19
42,fxproxy01.fanxing.kugou.com,115.231.37.17,A,2023-02-19
43,stream.kugou.com,fxproxy01.fanxing.kugou.com.,CNAME,2023-02-19
44,fxproxy01.fanxing.kugou.com,115.231.37.41,A,2023-02-19
45,songuser.kugou.com,kgnop3.kugou.com.,CNAME,2023-02-19
46,sharevideo.kugou.com,kgnop2.kugou.com.,CNAME,2023-02-19
47,kgnop2.kugou.com,103.104.169.230,A,2023-02-19
48,kgnop2.kugou.com,103.104.169.228,A,2023-02-19
49,sing.fanxing.kugou.com,sing.fanxing.kugou.com.wswebcdn.com.,CNAME,2023-02-19
50,livestatus.kugou.com,kgnop2.kugou.com.,CNAME,2023-02-19
51,kgnop2.kugou.com,183.47.99.160,A,2023-02-19
52,kgnop2.kugou.com,183.47.99.213,A,2023-02-19
53,kgnop2.kugou.com,183.2.140.92,A,2023-02-19
54,kgnop2.kugou.com,183.2.140.13,A,2023-02-19
55,www2.kugou.kugou.com,kgnop2.kugou.com.,CNAME,2023-02-18
56,stat.5sing.kugou.com,hwproxy.kugou.com.,CNAME,2023-02-18
57,hwproxy.kugou.com,114.116.221.212,A,2023-02-18
58,hwproxy.kugou.com,114.116.220.178,A,2023-02-18
59,musicmall.kugou.com,kgnop2.kugou.com.,CNAME,2023-02-18
60,m1kgshow.kugou.com,m1kgshow.kugou.com.wswebcdn.com.,CNAME,2023-02-18
61,8882.kugou.com,49.7.81.5,A,2023-02-18
62,go.kugou.com,home.kugou.com.,CNAME,2023-02-18
63,home.kugou.com,8882.kugou.com.,CNAME,2023-02-18
64,8882.kugou.com,49.7.81.4,A,2023-02-18
65,www.kugou.com,www.kugou.com.wswebcdn.com.,CNAME,2023-02-18
66,mx3.kugou.com,211.136.197.114,A,2023-02-18
67,relationretry.kugou.com,kgnop4.kugou.com.,CNAME,2023-02-18
68,kgnop4.kugou.com,49.7.78.240,A,2023-02-18
69,fsmvandroid.ali.kugou.com,fsmvandroid.ali.kugou.com.w.alikunlun.com.,CNAME,2023-02-18
70,kgnop1.kugou.com,49.7.78.77,A,2023-02-18
71,kgnop1.kugou.com,49.7.82.172,A,2023-02-18
72,mvwebfs.yun.kugou.com,127.0.0.10,A,2023-02-18
73,mpservice.kugou.com,kgnop2.kugou.com.,CNAME,2023-02-18
74,singerimage.kugou.com,kgnop2.kugou.com.,CNAME,2023-02-18
75,webfs.tx.kugou.com,webfs.tx.kugou.com.cdn.dnsv1.com.,CNAME,2023-02-18
76,fsmvandroid.tx.kugou.com,fsmvandroid.tx.kugou.com.cdn.dnsv1.com.,CNAME,2023-02-18
77,install.kugou.com,36.110.225.149,A,2023-02-18
78,fxdownmini.kugou.com,fxdownmini.kugou.com.w.kunluncan.com.,CNAME,2023-02-18
79,p.kugou.com,kgnop2.kugou.com.,CNAME,2023-02-18
