#,Domain,Address,Type,Date
1,web-lp-01.waf.liepin.com,gtm-cn-nif1y1qwx01.shenchai.com.,CNAME,2023-02-23
2,dongying.liepin.com,web-lp-01.waf.liepin.com.,CNAME,2023-02-23
3,maoming.liepin.com,web-lp-01.waf.liepin.com.,CNAME,2023-02-23
4,web-lp-bi01.op.liepin.com,gtm-cn-m7r1x9dmh01.shenchai.com.,CNAME,2023-02-23
5,m.liepin.com,web-lp-c.waf.liepin.com.,CNAME,2023-02-23
6,web-lp-c.waf.liepin.com,gtm-cn-nif1y1qwx01.shenchai.com.,CNAME,2023-02-23
7,taizhou1.liepin.com,web-lp-01.waf.liepin.com.,CNAME,2023-02-23
8,jingdezhen.liepin.com,web-lp-01.waf.liepin.com.,CNAME,2023-02-23
9,anyang.liepin.com,web-lp-01.waf.liepin.com.,CNAME,2023-02-23
10,huzhou.liepin.com,web-lp-01.waf.liepin.com.,CNAME,2023-02-23
11,baoding.liepin.com,web-lp-01.waf.liepin.com.,CNAME,2023-02-23
12,dongguan.liepin.com,web-lp-01.waf.liepin.com.,CNAME,2023-02-19
13,xpt.liepin.com,web-lp-xy.waf.liepin.com.,CNAME,2023-02-19
14,web-lp-xy.waf.liepin.com,gtm-cn-nif1y1qwx01.shenchai.com.,CNAME,2023-02-19
15,liaocheng.liepin.com,web-lp-01.waf.liepin.com.,CNAME,2023-02-18
16,wuxi.liepin.com,web-lp-01.waf.liepin.com.,CNAME,2023-02-18
17,taiyuan.liepin.com,web-lp-01.waf.liepin.com.,CNAME,2023-02-18
18,zhanjiang.liepin.com,web-lp-01.waf.liepin.com.,CNAME,2023-02-18
19,zaozhuang.liepin.com,web-lp-other.waf.liepin.com.,CNAME,2023-02-18
20,web-lp-other.waf.liepin.com,gtm-cn-nif1y1qwx01.shenchai.com.,CNAME,2023-02-18
21,cd.liepin.com,web-lp-01.waf.liepin.com.,CNAME,2023-02-17
22,www.bi-app.liepin.com,web-lp-other.waf.liepin.com.,CNAME,2023-02-17
23,changzhou.liepin.com,web-lp-01.waf.liepin.com.,CNAME,2023-02-17
24,handan.liepin.com,web-lp-01.waf.liepin.com.,CNAME,2023-02-13
25,c.liepin.com,web-lp-c.waf.liepin.com.,CNAME,2023-02-13
26,web-lp-bi.op.liepin.com,gtm-cn-m7r1x9dmh01.shenchai.com.,CNAME,2023-02-13
27,wuhan.liepin.com,web-lp-01.waf.liepin.com.,CNAME,2023-02-13
28,dlog.liepin.com,web-lp-other.waf.liepin.com.,CNAME,2023-02-13
29,www.84983.liepin.com,web-lp-other.waf.liepin.com.,CNAME,2023-02-13
30,app-leiting.liepin.com,web-lp-h.waf.liepin.com.,CNAME,2023-02-13
31,web-lp-h.waf.liepin.com,gtm-cn-nif1y1qwx01.shenchai.com.,CNAME,2023-02-13
32,resource.liepin.com,resource.liepin.com.w.cdngslb.com.,CNAME,2023-02-13
33,hz.liepin.com,web-lp-01.waf.liepin.com.,CNAME,2023-02-13
34,bocbj.liepin.com,bocbj.liepin.com.w.alikunlun.com.,CNAME,2023-02-13
35,ad.liepin.com,web-lp-other.waf.liepin.com.,CNAME,2023-02-13
36,luzhou.liepin.com,web-lp-other.waf.liepin.com.,CNAME,2023-02-13
37,daqing.liepin.com,web-lp-01.waf.liepin.com.,CNAME,2023-02-13
38,web-lp-caice.waf.liepin.com,trqvksz5esgotki995cgpripezwa6ffz.yundunwaf3.com.,CNAME,2023-02-13
39,xingtai.liepin.com,web-lp-01.waf.liepin.com.,CNAME,2023-02-13
40,app.liepin.com,web-lp-other.waf.liepin.com.,CNAME,2023-02-13
41,mianyang.liepin.com,web-lp-01.waf.liepin.com.,CNAME,2023-02-13
42,mx01-149.notice.liepin.com,web-lp-other.waf.liepin.com.,CNAME,2023-02-13
43,im.liepin.com,web-lp-other.waf.liepin.com.,CNAME,2023-02-13
44,jiujiang.liepin.com,web-lp-01.waf.liepin.com.,CNAME,2023-02-13
45,gz.liepin.com,web-lp-01.waf.liepin.com.,CNAME,2023-02-13
46,e.liepin.com,web-lp-other.waf.liepin.com.,CNAME,2023-02-13
47,hefei.liepin.com,web-lp-01.waf.liepin.com.,CNAME,2023-02-13
48,android-lpms.liepin.com,web-lp-other.waf.liepin.com.,CNAME,2023-02-13
49,chengde.liepin.com,web-lp-01.waf.liepin.com.,CNAME,2023-02-13
50,www.article.liepin.com,web-lp-other.waf.liepin.com.,CNAME,2023-02-13
51,qa.liepin.com,web-lp-other.waf.liepin.com.,CNAME,2023-02-13
52,www.im-long.liepin.com,web-lp-other.waf.liepin.com.,CNAME,2023-02-13
53,changshu.liepin.com,web-lp-01.waf.liepin.com.,CNAME,2023-02-13
54,intention.liepin.com,web-lp-other.waf.liepin.com.,CNAME,2023-02-09
55,rivers.liepin.com,rivers.liepin.com.w.cdngslb.com.,CNAME,2023-02-09
56,nj.liepin.com,web-lp-01.waf.liepin.com.,CNAME,2023-02-09
57,hrcp.liepin.com,web-lp-caice.waf.liepin.com.,CNAME,2023-02-09
58,sz.liepin.com,web-lp-01.waf.liepin.com.,CNAME,2023-02-08
59,bj.liepin.com,web-lp-01.waf.liepin.com.,CNAME,2023-02-08
60,xy.liepin.com,xy.liepin.com.w.kunluncan.com.,CNAME,2023-02-08
61,nr.liepin.com,web-lp-other.waf.liepin.com.,CNAME,2023-02-08
62,zhaoqing.liepin.com,web-lp-01.waf.liepin.com.,CNAME,2023-02-08
63,binzhou.liepin.com,web-lp-other.waf.liepin.com.,CNAME,2023-02-08
64,m-gcdc.liepin.com,web-lp-other.waf.liepin.com.,CNAME,2023-02-08
65,zhangjiajie.liepin.com,web-lp-other.waf.liepin.com.,CNAME,2023-02-08
66,mapp-leitingb.liepin.com,web-lp-other.waf.liepin.com.,CNAME,2023-02-08
67,tongdao.liepin.com,web-lp-other.waf.liepin.com.,CNAME,2023-02-08
68,m-tdvideo.liepin.com,web-lp-other.waf.liepin.com.,CNAME,2023-02-08
69,linyi.liepin.com,web-lp-01.waf.liepin.com.,CNAME,2023-02-08
70,zhongshan.liepin.com,web-lp-01.waf.liepin.com.,CNAME,2023-02-08
71,m-crecruit.liepin.com,web-lp-b.waf.liepin.com.,CNAME,2023-02-08
72,web-lp-b.waf.liepin.com,gtm-cn-nif1y1qwx01.shenchai.com.,CNAME,2023-02-08
73,sns-m.liepin.com,web-lp-other.waf.liepin.com.,CNAME,2023-02-08
74,shijiazhuang.liepin.com,web-lp-01.waf.liepin.com.,CNAME,2023-02-08
75,ningde.liepin.com,web-lp-other.waf.liepin.com.,CNAME,2023-02-08
76,ww.163.comwww.liepin.com,web-lp-other.waf.liepin.com.,CNAME,2023-02-08
77,dl.liepin.com,web-lp-01.waf.liepin.com.,CNAME,2023-02-08
78,xinxiang.liepin.com,web-lp-01.waf.liepin.com.,CNAME,2023-02-08
79,yaopin.liepin.com,web-lp-other.waf.liepin.com.,CNAME,2023-02-08
80,zhipei.liepin.com,web-lp-other.waf.liepin.com.,CNAME,2023-02-08
81,service.liepin.com,web-lp-other.waf.liepin.com.,CNAME,2023-02-08
82,baizhong.liepin.com,web-lp-other.waf.liepin.com.,CNAME,2023-02-08
83,api.liepin.com,web-lp-b.waf.liepin.com.,CNAME,2023-02-08
84,puyang.liepin.com,web-lp-01.waf.liepin.com.,CNAME,2023-02-08
85,passport.liepin.com,web-lp-other.waf.liepin.com.,CNAME,2023-02-08
86,apic.liepin.com,web-lp-other.waf.liepin.com.,CNAME,2023-02-08
87,maanshan.liepin.com,web-lp-01.waf.liepin.com.,CNAME,2023-02-08
88,link.liepin.com,web-lp-other.waf.liepin.com.,CNAME,2023-02-08
89,statistic-sns.liepin.com,web-lp-other.waf.liepin.com.,CNAME,2023-02-08
