#,Domain,Address,Type,Date
1,91752.mafengwo.cn,gtm-cn-6ja1oiz5802.mafengwo.cn.,CNAME,2023-02-23
2,gtm-cn-6ja1oiz5802.mafengwo.cn,mafengwo.cn-1258295365.shared.cdn.dnsv1.com.,CNAME,2023-02-23
3,42204.mafengwo.cn,gtm-cn-6ja1oiz5802.mafengwo.cn.,CNAME,2023-02-23
4,www.58jfl9.mafengwo.cn,gtm-cn-6ja1oiz5802.mafengwo.cn.,CNAME,2023-02-23
5,7hbip.mafengwo.cn,gtm-cn-6ja1oiz5802.mafengwo.cn.,CNAME,2023-02-23
6,19148.mafengwo.cn,gtm-cn-6ja1oiz5802.mafengwo.cn.,CNAME,2023-02-23
7,a2x5g.mafengwo.cn,gtm-cn-6ja1oiz5802.mafengwo.cn.,CNAME,2023-02-23
8,vo6k6.mafengwo.cn,gtm-cn-6ja1oiz5802.mafengwo.cn.,CNAME,2023-02-23
9,grkl9.mafengwo.cn,gtm-cn-6ja1oiz5802.mafengwo.cn.,CNAME,2023-02-23
10,cim-geo-dev.mafengwo.cn,gtm-cn-6ja1oiz5802.mafengwo.cn.,CNAME,2023-02-23
11,ilq5q.mafengwo.cn,gtm-cn-6ja1oiz5802.mafengwo.cn.,CNAME,2023-02-23
12,h16da.mafengwo.cn,gtm-cn-6ja1oiz5802.mafengwo.cn.,CNAME,2023-02-23
13,huoche.mafengwo.cn,gtm-cn-6ja1oiz5802.mafengwo.cn.,CNAME,2023-02-23
14,swvnm.mafengwo.cn,gtm-cn-6ja1oiz5802.mafengwo.cn.,CNAME,2023-02-23
15,ln4tj.mafengwo.cn,gtm-cn-6ja1oiz5802.mafengwo.cn.,CNAME,2023-02-23
16,bqg2c.mafengwo.cn,gtm-cn-6ja1oiz5802.mafengwo.cn.,CNAME,2023-02-23
17,1ab3s.mafengwo.cn,gtm-cn-6ja1oiz5802.mafengwo.cn.,CNAME,2023-02-23
18,lvyou.mafengwo.cn,gtm-cn-6ja1oiz5802.mafengwo.cn.,CNAME,2023-02-23
19,taobao.mafengwo.cn,gtm-cn-6ja1oiz5802.mafengwo.cn.,CNAME,2023-02-23
20,hostmaster.mafengwo.cn,gtm-cn-6ja1oiz5802.mafengwo.cn.,CNAME,2023-02-23
21,ykcom.mafengwo.cn,gtm-cn-6ja1oiz5802.mafengwo.cn.,CNAME,2023-02-23
22,nns6l.mafengwo.cn,gtm-cn-6ja1oiz5802.mafengwo.cn.,CNAME,2023-02-23
