#,Domain,Address,Type,Date
1,m2.res.meizu.com,m2.res.meizu.com.trpcdn.net.,CNAME,2023-02-23
2,bbsimage.res.meizu.com,mz-bbs-image.b0.aicdn.com.,CNAME,2023-02-23
3,i4.res.meizu.com,i4.res.meizu.com.w.alikunlun.com.,CNAME,2023-02-23
4,cal.res.meizu.com,cal.res.meizu.com.a.bdydns.com.,CNAME,2023-02-23
5,i5.res.meizu.com,i5.res.meizu.com.a.bdydns.com.,CNAME,2023-02-23
6,mall.res.meizu.com,mall.res.meizu.com.trpcdn.net.,CNAME,2023-02-23
7,uxip-res.meizu.com,uxip-res.meizu.com.w.kunlungr.com.,CNAME,2023-02-23
8,mwx-api.meizu.com,d79c93c8e14b48e1be47bd18a3d2c468.vip1.huaweicloudwaf.com.,CNAME,2023-02-23
9,uc-res.meizu.com,uc-res.meizu.com.w.alikunlun.com.,CNAME,2023-02-23
10,photo.res.meizu.com,photo.res.meizu.com.trpcdn.net.,CNAME,2023-02-19
11,game.res.meizu.com,game.res.meizu.com.w.alikunlun.com.,CNAME,2023-02-19
12,store.res.meizu.com,store.res.meizu.com.trpcdn.net.,CNAME,2023-02-19
13,b.meizu.com,101.200.30.244,A,2023-02-19
14,hy-data.meizu.com,115.28.238.198,A,2023-02-19
15,15.res.meizu.com,mz-15-res.b0.aicdn.com.,CNAME,2023-02-18
16,download.meizu.com,download.meizu.com.w.alikunlun.net.,CNAME,2023-02-18
17,browser.in.meizu.com,116.66.216.113,A,2023-02-18
18,in.meizu.com,dnspod-vip4.mydnspod.net.,CNAME,2023-02-18
19,edge03.meizu.com,115.28.238.198,A,2023-02-18
20,me.m.meizu.com,p8dsoft8bcrq1kcwi7mqxpeozl7gyxly.yundunwaf.com.,CNAME,2023-02-18
21,mformy.meizu.com,brx4bwvdnp6he6fpnusohau3n5hsiqoj.yundunwaf.com.,CNAME,2023-02-18
22,api.game.meizu.com,206.161.233.193,A,2023-02-18
23,api.in.meizu.com,116.66.216.74,A,2023-02-18
24,safe.res.meizu.com,safe.res.meizu.com.a.bdydns.com.,CNAME,2023-02-18
25,mystore.meizu.com,125.88.254.229,A,2023-02-18
26,uac.meizu.com,14.29.68.187,A,2023-02-18
27,member.meizu.com,14.152.79.133,A,2023-02-18
28,store.meizu.com,emuppyh17nt8unefcbtkdwocbv7odldb.yundunwaf.com.,CNAME,2023-02-18
29,https-res.meizu.com,https-res.meizu.com.a.bdydns.com.,CNAME,2023-02-17
30,aider-res.meizu.com,aider-res.meizu.com.a.bdydns.com.,CNAME,2023-02-17
31,www3.res.meizu.com,www3.res.meizu.com.trpcdn.net.,CNAME,2023-02-17
32,upush.meizu.com,125.94.213.144,A,2023-02-17
33,contactsync.meizu.com,125.88.254.225,A,2023-02-17
34,wan.res.meizu.com,bg-assets-pro.b0.aicdn.com.,CNAME,2023-02-13
35,storeimg.meizu.com,storeimg.meizu.com.trpcdn.net.,CNAME,2023-02-13
36,mall.meizu.com,fulzscfuzp187zhunc1p3koyg6jue8fa.alicloudwaf.com.,CNAME,2023-02-13
37,a3.res.meizu.com,a3.res.meizu.com.w.alikunlun.com.,CNAME,2023-02-13
38,u-res.in.meizu.com,u-res.in.meizu.com.w.kunlunea.com.,CNAME,2023-02-09
39,birthdayrmd.meizu.com,115.28.238.198,A,2023-02-08
40,assistant.meizu.com,121.46.131.237,A,2023-02-08
41,cimg2.res.meizu.com,cimg2.res.meizu.com.trpcdn.net.,CNAME,2023-02-08
42,meizumx2.meizu.com,14.29.68.190,A,2023-02-08
43,feanalysis.meizu.com,47.90.14.223,A,2023-02-08
44,app.store.res.meizu.com,6az193wpvzrefl3tlsotcrua3zuqptcv.alicloudwaf.com.,CNAME,2023-02-03
45,g3.res.meizu.com,g3.res.meizu.com.a.bdydns.com.,CNAME,2023-02-03
46,push.res.meizu.com,push.res.meizu.com.a.bdydns.com.,CNAME,2023-02-03
47,cart.mall.meizu.com,sr6rzlqn8ms2txvc2ddajuekd4zhztqy.alicloudwaf.com.,CNAME,2023-01-31
48,safe.meizu.com,125.94.213.143,A,2023-01-31
49,api-lichee.meizu.com,125.88.254.236,A,2023-01-31
50,myj.meizu.com,47.95.65.202,A,2023-01-31
51,booking.meizu.com,115.28.238.198,A,2023-01-31
52,tinysync.in.meizu.com,116.66.216.96,A,2023-01-31
53,admin-pay.meizu.com,192.168.19.86,A,2023-01-30
54,down3.meizu.com,115.28.238.198,A,2023-01-30
55,openapi-news.meizu.com,121.46.131.241,A,2023-01-30
56,cart.meizu.com,jgzrfcqlmnh2cxk3538gnfzqbu0n9owu.alicloudwaf.com.,CNAME,2023-01-30
57,hotapps-res-apk.in.meizu.com,hotapps-res-apk.in.meizu.com.w.cdngslb.com.,CNAME,2023-01-30
58,uxip-res.meizu.com,1uxip-res.meizu.com.cdn.dnsv1.com.,CNAME,2023-01-30
59,pandaer.meizu.com,123.56.118.217,A,2023-01-30
60,tongji-res.meizu.com,tongji-res.meizu.com.w.kunlunca.com.,CNAME,2023-01-29
61,bbsimage.meizu.com,mz-bbs-image.b0.aicdn.com.,CNAME,2023-01-29
62,detail.meizu.com,bffkwwuzwrwk57jlkbveai8b5phqy3ty.alicloudwaf.com.,CNAME,2023-01-29
63,www.meizu.com,47.74.172.8,A,2022-11-20
64,en.meizu.com,dnspod-vip5.mydnspod.net.,CNAME,2022-11-20
65,mail.yx.meizu.com,139.129.50.0,A,2022-11-20
66,admanage.meizu.com,115.28.238.198,A,2022-11-20
67,sso.orion.meizu.com,115.28.238.198,A,2022-11-20
68,safebrowsing.meizu.com,115.28.238.198,A,2022-11-20
69,findphone.in.meizu.com,116.66.216.114,A,2022-11-20
70,crmonline.meizu.com,49.4.6.177,A,2022-11-20
71,paycenter.meizu.com,ssczajeaoim4udk0sig5qvqdpum4hjay.alicloudwaf.com.,CNAME,2022-11-19
72,yp.res.meizu.com,yp.res.meizu.com.w.alikunlun.com.,CNAME,2022-11-19
