#,Domain,Address,Type,Date
1,communitymy.oppo.com,community-oneplus-fr-hcmeszq-ffec957d8ee04f94.elb.eu-west-3.amazonaws.com.,CNAME,2023-02-23
2,imap.oppo.com,hwhzimap.qiye.163.com.,CNAME,2023-02-23
3,global.oppo.com,sgp-gow-pubgw-497684155.ap-southeast-1.elb.amazonaws.com.,CNAME,2023-02-23
4,hwimap.oppo.com,hwhkhm.qiye.163.com.,CNAME,2023-02-23
5,warranty.oppo.com,sin-ebd-g-oad-apigw-ext-l0dur9c-864110277.ap-southeast-1.elb.amazonaws.com.,CNAME,2023-02-23
6,lockcard.oppo.com,sgp-allawn-descartes-coloros-pub-72219884.ap-southeast-1.elb.amazonaws.com.,CNAME,2023-02-23
7,security.oppo.com,sgp-osrc-oppo-pubgw-431125166.ap-southeast-1.elb.amazonaws.com.,CNAME,2023-02-23
8,hwsmtp.oppo.com,hwhkhm.qiye.163.com.,CNAME,2023-02-23
9,bbs.oppo.com,bbs.oppo.com.edgesuite.net.,CNAME,2023-02-19
10,reno-activity.oppo.com,223.202.200.181,A,2023-02-19
11,campus.oppo.com,campus.oppo.com.akamaized.net.,CNAME,2023-02-19
12,eurwarranty.oppo.com,par-ss-guangdong-oppo-pro-pubgw-32512545.eu-west-3.elb.amazonaws.com.,CNAME,2023-02-19
13,expc2.oppo.com,172.16.58.106,A,2023-02-19
14,uat-cms.oppo.com,uat-cms.oppo.com.edgesuite.net.,CNAME,2023-02-18
15,yihuandl.oppo.com,yihuandl.oppo.com.w.alikunlun.com.,CNAME,2023-02-18
16,after-sales.address.oppo.com,sgp-allawn-fourier-pub-yoxfqko-1034827075.ap-southeast-1.elb.amazonaws.com.,CNAME,2023-02-18
17,file.oppo.com,172.16.103.13,A,2023-02-18
18,im-api.oppo.com,im-api.oppo.com.edgesuite.net.,CNAME,2023-02-18
19,expe2.oppo.com,172.16.58.107,A,2023-02-18
20,msts.oppo.com,58.252.5.83,A,2023-02-17
21,wx.oppo.com,106.38.236.226,A,2023-02-17
22,uat-support.oppo.com,uat-support.oppo.com.edgesuite.net.,CNAME,2023-02-17
23,smtp.oppo.com,hwhzsmtp.qiye.163.com.,CNAME,2023-02-13
24,ieurwarranty.oppo.com,par-ss-guangdong-oppo-pro-pubgw-32512545.eu-west-3.elb.amazonaws.com.,CNAME,2023-02-13
25,acc.oppo.com,sgp-gow-pubgw-497684155.ap-southeast-1.elb.amazonaws.com.,CNAME,2023-02-13
26,hr-file-ext.oppo.com,hr-file-ext-oppo-com-kgz1zog-228377182.ap-southeast-1.elb.amazonaws.com.,CNAME,2023-02-13
27,preyihuandl.oppo.com,preyihuadl-oppo-com-test.oss-cn-beijing.aliyuncs.com.,CNAME,2023-02-13
28,surveys.oppo.com,34.80.226.1,A,2023-02-09
29,my.oppo.com,z9fgiscrpw29ecc7g3daflatjtp6b0ex.yundunwaf1.com.,CNAME,2023-02-09
30,nimap.oppo.com,172.16.40.233,A,2023-02-09
31,fs.oppo.com,fs.oppo.com.w.alikunlun.com.,CNAME,2023-02-09
32,eftp.oppo.com,52.74.130.182,A,2023-02-08
33,chat-support.oppo.com,wss-https-c93c11e54eff0ab2.elb.ap-southeast-1.amazonaws.com.,CNAME,2023-02-08
