#,Domain,Address,Type,Date
1,css2.pingan.com,css2.pingan.com.cdn.pingan.com.cn.,CNAME,2023-02-23
2,script2.pingan.com,script2.pingan.com.cdn.pingan.com.cn.,CNAME,2023-02-23
3,pacdn.m.stock.pingan.com,pacdn.m.stock.pingan.com.pa.cdn.pingan.com.cn.,CNAME,2023-02-23
4,life.pingan.com,2404:7180:a000:301::14,AAAA,2023-02-23
5,zeb-gj.pingan.com,zeb-gj.pingan.com.qiniudns.com.,CNAME,2023-02-23
6,pc.stg.pingan.com,2404:7180:aa00:321::17,AAAA,2023-02-23
7,stock.pingan.com,2404:7180:aa00:121::1:1,AAAA,2023-02-23
8,m-stg1.health.pingan.com,m-stg1.health.pingan.com.cdn.pingan.com.cn.,CNAME,2023-02-23
9,cdn-parun.pingan.com,cdn-parun.pingan.com.cdn.pingan.com.cn.,CNAME,2023-02-23
10,hcz.pingan.com,hcz.pingan.com.cdn.pingan.com.cn.,CNAME,2023-02-23
11,pare-staic-stg1.pingan.com,pare-staic-stg1.pingan.com.cdn.pingan.com.cn.,CNAME,2023-02-23
12,youlian.pingan.com,210.83.240.112,A,2023-02-19
13,youlian.pingan.com,218.18.229.112,A,2023-02-19
14,bank.pingan.com,bank.pingan.com.cdn20.com.,CNAME,2023-02-19
15,srvbot.fincloud.pingan.com,101.89.63.86,A,2023-02-19
16,ehis-wap-stg5.health.pingan.com,ehis-wap-stg5.health.pingan.com.paxdn.com.,CNAME,2023-02-19
17,talent-stg2.pingan.com,103.28.215.253,A,2023-02-19
18,ccp.pingan.com,14.215.106.129,A,2023-02-19
19,elb-avis-biap.pingan.com,elb-avis-biap.pingan.com.cdn.pingan.com.cn.,CNAME,2023-02-18
20,br.pingan.com,pool-aa-br.pingan.com.cdngtm.com.,CNAME,2023-02-18
21,wwww.cexia.pingan.com,202.69.19.184,A,2023-02-18
22,lc.pingan.com,202.69.29.25,A,2023-02-18
23,u.pingan.com,14.215.106.51,A,2023-02-18
24,m.pingan.com,202.69.26.16,A,2023-02-18
25,a.pingan.com,124.196.40.149,A,2023-02-18
26,ziker-static.yun.pingan.com,ziker-static.yun.pingan.com.pa.cdn.pingan.com.cn.,CNAME,2023-02-18
27,service5-stg2.cfb.pingan.com,114.141.178.35,A,2023-02-18
28,stg1.guanjia.pingan.com,iduza5v.qiniudns.com.,CNAME,2023-02-18
29,paqh.pingan.com,210.22.17.228,A,2023-02-18
30,aizb.pingan.com,45.65.22.58,A,2023-02-18
31,service.hdfund.pingan.com,202.69.31.140,A,2023-02-18
32,mobi.pingan.com,183.129.178.89,A,2023-02-18
33,static2.pingan.com,static2.pingan.com.cdn.pingan.com.cn.,CNAME,2023-02-18
34,parun.pingan.com,parun.pingan.com.paxdn.com.,CNAME,2023-02-18
35,macro-stg1.pingan.com,101.89.103.52,A,2023-02-18
36,master.pase-hrx-stg1.pingan.com,121.12.84.101,A,2023-02-18
37,ci-ziker.yun.pingan.com,45.65.22.106,A,2023-02-18
38,cash.pingan.com,cash.pingan.com.cn.,CNAME,2023-02-18
39,umap.yun.pingan.com,45.65.22.26,A,2023-02-17
40,secview-stg.pingan.com,103.28.215.253,A,2023-02-17
41,portal.yingxiang.pingan.com,113.96.197.157,A,2023-02-17
42,gj.pingan.com,14.215.106.140,A,2023-02-17
43,c.pingan.com,pab-c.pingan.com.cdngtm.com.,CNAME,2023-02-17
44,captcha-static-stg.pingan.com,captcha-static-stg.pingan.com.cdn.pingan.com.cn.,CNAME,2023-02-17
45,fortune.pingan.com,202.69.26.55,A,2023-02-17
46,home.sdkfund.pingan.com,202.69.16.157,A,2023-02-17
47,nts-pt-stg3.pingan.com,101.89.90.109,A,2023-02-17
48,intelligent-health.med-skyhandler.pingan.com,124.196.56.97,A,2023-02-17
49,newyl.pingan.com,183.6.216.5,A,2023-02-17
50,pawealth.pingan.com,202.69.16.157,A,2023-02-17
51,dd.pingan.com,140.206.234.175,A,2023-02-17
52,static.emcs.pingan.com,static.emcs.pingan.com.cdn.pingan.com.cn.,CNAME,2023-02-17
