#,Domain,Address,Type,Date
1,yxchain.qianmi.com,hwslb-auto.qianmi.com.,CNAME,2023-02-23
2,paycallback.qianmi.com,hwslb.qianmi.com.,CNAME,2023-02-23
3,demo.qianmi.com,hwslb.qianmi.com.,CNAME,2023-02-23
4,cashier.qianmi.com,hwslb.qianmi.com.,CNAME,2023-02-23
5,hwslb.qianmi.com,139.9.116.245,A,2023-02-19
6,open.qianmi.com,hwslb.qianmi.com.,CNAME,2023-02-19
7,hwslb-auto.qianmi.com,121.36.15.99,A,2023-02-19
8,lfslb.qianmi.com,lfslb-new.qianmi.com.,CNAME,2023-02-19
9,lfslb-new.qianmi.com,115.236.76.182,A,2023-02-19
10,jzchain.qianmi.com,yxslb.qianmi.com.,CNAME,2023-02-18
11,yxslb.qianmi.com,120.55.197.125,A,2023-02-18
12,test2.qianmi.com,hwslb.qianmi.com.,CNAME,2023-02-18
13,oauth.qianmi.com,hwslb.qianmi.com.,CNAME,2023-02-18
14,kstore.qianmi.com,114.67.86.210,A,2023-02-18
15,admin.qianmi.com,hwslb.qianmi.com.,CNAME,2023-02-17
16,3c.qianmi.com,hwslb.qianmi.com.,CNAME,2023-02-13
17,wxdh.slb.qianmi.com,hwslb-auto.qianmi.com.,CNAME,2023-02-09
18,gslb.qianmi.com,hwslb.qianmi.com.,CNAME,2023-02-08
19,jz.qianmi.com,hwslb.qianmi.com.,CNAME,2023-02-08
20,b.gslb.qianmi.com,61.147.166.165,A,2023-02-08
21,test1.qianmi.com,hwslb.qianmi.com.,CNAME,2023-02-03
22,college.qianmi.com,yxchain.qianmi.com.,CNAME,2023-02-03
23,test4.qianmi.com,hwslb.qianmi.com.,CNAME,2023-02-03
24,salt.qianmi.com,hwslb.qianmi.com.,CNAME,2023-02-03
25,zb.qianmi.com,yxchain.qianmi.com.,CNAME,2023-02-03
26,vip.qianmi.com,hwslb.qianmi.com.,CNAME,2023-01-31
27,login.qianmi.com,hwslb.qianmi.com.,CNAME,2023-01-31
28,edm.qianmi.com,139.9.116.245,A,2023-01-31
29,appdiy.qianmi.com,hwslb.qianmi.com.,CNAME,2023-01-30
30,bmslb.qianmi.com,120.55.106.194,A,2022-11-20
31,demo.qianmi.com,qmslb.qianmi.com.,CNAME,2022-11-20
32,qmslb.qianmi.com,120.55.198.118,A,2022-11-20
33,gslb.qianmi.com,qmslb.qianmi.com.,CNAME,2022-11-20
34,paycallback.qianmi.com,qmslb.qianmi.com.,CNAME,2022-11-19
