#,Domain,Address,Type,Date
1,data.saicmobility.com,8.136.234.148,A,2023-02-18
2,static.saicmobility.com,static.saicmobility.com.w.kunluncan.com.,CNAME,2023-02-18
3,autodiscover.saicmobility.com,autodiscover.partner.outlook.cn.,CNAME,2023-02-18
4,r.saicmobility.com,116.62.166.23,A,2022-11-19
5,saicmobility.com,172.31.1.2,A,2022-11-19
6,saicmobility.com,172.31.1.1,A,2022-11-19
7,src.saicmobility.com,212.64.63.68,A,2022-11-16
8,mqtt.saicmobility.com,212.64.63.68,A,2022-11-13
9,lights.saicmobility.com,212.64.63.68,A,2022-11-10
10,zbx-file.saicmobility.com,xd-zebrax.oss-cn-shanghai.aliyuncs.com.,CNAME,2021-11-06
11,www.saicmobility.com,www.saicmobility.com.w.kunluncan.com.,CNAME,2021-11-06
12,td.saicmobility.com,5e0dasrc.dayugslb.com.,CNAME,2021-11-06
13,sso-test.saicmobility.com,5e0dasrc.dayugslb.com.,CNAME,2021-11-06
14,smg02.saicmobility.com,36.152.36.89,A,2021-11-06
15,smg01.saicmobility.com,36.152.36.2,A,2021-11-06
16,saicmobility.com,172.16.1.2,A,2021-11-06
17,saicmobility.com,172.16.1.1,A,2021-11-06
18,r.saicmobility.com,5e0dasrc.dayugslb.com.,CNAME,2021-11-06
19,mx1.saicmobility.com,117.184.122.72,A,2021-11-06
20,mqtt.saicmobility.com,5e0dasrc.dayugslb.com.,CNAME,2021-11-06
21,marketing.saicmobility.com,5e0dasrc.dayugslb.com.,CNAME,2021-11-05
22,lights.saicmobility.com,5e0dasrc.dayugslb.com.,CNAME,2021-11-05
23,jira.saicmobility.com,10.188.139.29,A,2021-11-05
24,api.saicmobility.com,5e0dasrc.dayugslb.com.,CNAME,2021-11-04
25,src.saicmobility.com,5e0dasrc.dayugslb.com.,CNAME,2021-11-03
26,saicmobility.com,saicmobility-com.mail.protection.partner.outlook.cn.,MX,2021-11-03
27,zbx-file.saicmobility.com,xd-zebrax.oss-cn-shanghai.aliyuncs.com,CNAME,2021-10-06
28,www.saicmobility.com,www.saicmobility.com.w.kunluncan.com,CNAME,2021-10-06
29,td.saicmobility.com,5e0dasrc.dayugslb.com,CNAME,2021-10-06
30,static.saicmobility.com,static.saicmobility.com.w.kunluncan.com,CNAME,2021-10-06
31,sso-test.saicmobility.com,5e0dasrc.dayugslb.com,CNAME,2021-10-06
32,src.saicmobility.com,5e0dasrc.dayugslb.com,CNAME,2021-10-06
33,r.saicmobility.com,5e0dasrc.dayugslb.com,CNAME,2021-10-06
34,mqtt.saicmobility.com,5e0dasrc.dayugslb.com,CNAME,2021-10-05
35,lights.saicmobility.com,5e0dasrc.dayugslb.com,CNAME,2021-10-05
36,autodiscover.saicmobility.com,autodiscover.partner.outlook.cn,CNAME,2021-10-04
37,api.saicmobility.com,5e0dasrc.dayugslb.com,CNAME,2021-10-04
38,saicmobility.com,saicmobility-com.mail.protection.partner.outlook.cn,MX,2021-10-03
39,marketing.saicmobility.com,5e0dasrc.dayugslb.com,CNAME,2021-10-02
40,lights.saicmobility.com,8.136.248.75,A,2021-08-05
