#,Domain,Address,Type,Date
1,file.edu.sangfor.com.cn,file.edu.sangfor.com.cn.wsdvs.com.,CNAME,2023-02-23
2,new.sangfor.com.cn,site.sangfor.com.cn.,CNAME,2023-02-23
3,pms.sangfor.com.cn,site.sangfor.com.cn.,CNAME,2023-02-23
4,ns2.sangfor.com.cn,site.sangfor.com.cn.,CNAME,2023-02-23
5,wwww.sangfor.com.cn,site.sangfor.com.cn.,CNAME,2023-02-23
6,host2.sangfor.com.cn,site.sangfor.com.cn.,CNAME,2023-02-22
7,mx2.sangfor.com.cn,222.126.229.182,A,2023-02-19
8,soc.sangfor.com.cn,6406945eb810f53b6b40a1a75c90f25f.sangfordns.com.,CNAME,2023-02-19
9,yswx.sangfor.com.cn,219.135.99.83,A,2023-02-19
10,site.sangfor.com.cn,121.46.23.237,A,2023-02-19
11,mta13.sangfor.com.cn,site.sangfor.com.cn.,CNAME,2023-02-19
12,images.sangfor.com.cn,site.sangfor.com.cn.,CNAME,2023-02-19
13,f4.sangfor.com.cn,site.sangfor.com.cn.,CNAME,2023-02-18
14,wiki.sangfor.com.cn,dnspod-vip2.beian.mydnspod.net.,CNAME,2023-02-18
15,1rer.sangfor.com.cn,site.sangfor.com.cn.,CNAME,2023-02-18
16,learning.sangfor.com.cn,121.46.4.1,A,2023-02-17
17,scis.sangfor.com.cn,121.46.25.247,A,2023-02-17
18,mirror.sangfor.com.cn,5fe1b4a8569a8e134a28d8e5a35a41ba.sangfordns.com.,CNAME,2023-02-13
19,host1.sangfor.com.cn,site.sangfor.com.cn.,CNAME,2023-02-13
20,pop.sangfor.com.cn,pophm.qiye.163.com.,CNAME,2023-02-13
21,sipc.sangfor.com.cn,site.sangfor.com.cn.,CNAME,2023-02-13
22,528.sangfor.com.cn,site.sangfor.com.cn.,CNAME,2023-02-13
23,hq.sangfor.com.cn,site.sangfor.com.cn.,CNAME,2023-02-08
24,open.sangfor.com.cn,site.sangfor.com.cn.,CNAME,2023-02-08
25,ir.sangfor.com.cn,site.sangfor.com.cn.,CNAME,2023-02-08
26,old.sangfor.com.cn,site.sangfor.com.cn.,CNAME,2023-02-03
27,video.sangfor.com.cn,video.sangfor.com.cn.cdn20.com.,CNAME,2023-02-03
28,qwqee.sangfor.com.cn,site.sangfor.com.cn.,CNAME,2023-02-03
29,mcsp.sangfor.com.cn,106.55.222.240,A,2023-01-30
30,forum.sangfor.com.cn,dnspod-vip2.mydnspod.net.,CNAME,2023-01-30
31,sy.edu.sangfor.com.cn,121.46.25.216,A,2023-01-29
32,yywx.sangfor.com.cn,114.118.7.185,A,2023-01-29
33,doc.sangfor.com.cn,doc.sangfor.com.cn.wswebcdn.com.,CNAME,2022-11-20
34,rerew.sangfor.com.cn,site.sangfor.com.cn.,CNAME,2022-11-20
35,device.scloud.sangfor.com.cn,219.135.99.246,A,2022-11-20
36,device.scloud.sangfor.com.cn,219.135.99.247,A,2022-11-20
37,ns2.neural-x.sangfor.com.cn,121.46.8.174,A,2022-11-18
38,ns2.neural-x.sangfor.com.cn,121.32.254.204,A,2022-11-18
39,api.sangfor.com.cn,site.sangfor.com.cn.,CNAME,2022-11-18
40,auth.sangfor.com.cn,121.46.8.162,A,2022-11-18
41,diandi.sangfor.com.cn,120.79.194.1,A,2022-11-18
42,ssl.sangfor.com.cn,54.169.70.12,A,2022-11-18
43,smtp.sangfor.com.cn,smtphm.qiye.163.com.,CNAME,2022-11-17
44,gzicloud-safe.sangfor.com.cn,319a3b3aae7919399b607b4941d124fe.sangfordns.com.,CNAME,2022-11-17
45,w3.sangfor.com.cn,site.sangfor.com.cn.,CNAME,2022-11-17
46,page.sangfor.com.cn,s1587972869.hs.eloqua.com.,CNAME,2022-11-17
47,yd.sangfor.com.cn,84fc1414a7e89ff8c3676e0909a76f12.sangfordns.com.,CNAME,2022-11-16
48,remote1.sangfor.com.cn,219.135.99.246,A,2022-11-16
49,addns.sangfor.com.cn,site.sangfor.com.cn.,CNAME,2022-11-16
50,pop3.sangfor.com.cn,pophm.qiye.163.com.,CNAME,2022-11-15
51,saas.sangfor.com.cn,3f3fdf748271e171db177498060f9f19.sangfordns.com.,CNAME,2022-11-15
52,bocaiwangzhanpaiming.sangfor.com.cn,site.sangfor.com.cn.,CNAME,2022-11-15
53,cmsdownload.sangfor.com.cn,cmsdownload.sangfor.com.cn.wswebcdn.com.,CNAME,2022-11-15
54,sited.sangfor.com.cn,121.46.6.53,A,2022-11-15
55,u.soc.sangfor.com.cn,9aa6889a172963905f9d577a1fced14b.sangfordns.com.,CNAME,2022-11-15
56,innovation.sangfor.com.cn,innovation.sangfor.com.cn.wswebcdn.com.,CNAME,2022-11-14
57,saasapi.sangfor.com.cn,300bb936fdbaba4b920454500e30ae7c.sangfordns.com.,CNAME,2022-11-14
58,web.sangfor.com.cn,site.sangfor.com.cn.,CNAME,2022-11-14
59,sp.sangfor.com.cn,121.46.8.134,A,2022-11-14
60,host224.sangfor.com.cn,site.sangfor.com.cn.,CNAME,2022-11-14
61,secaas.sangfor.com.cn,secaas.sangfor.com.cn.sangfordns.com.,CNAME,2022-11-14
62,secimg.sangfor.com.cn,idv0hkx.qiniudns.com.,CNAME,2022-11-14
63,exchange.sangfor.com.cn,site.sangfor.com.cn.,CNAME,2022-11-14
64,download.sangfor.com.cn,download.sangfor.com.cn.cdn20.com.,CNAME,2022-11-13
65,mobile.sangfor.com.cn,121.46.23.237,A,2022-11-12
66,rm.sangfor.com.cn,113.105.88.152,A,2022-11-12
67,mail.sangfor.com.cn,mailhz.qiye.163.com.,CNAME,2022-11-12
68,saassso.sangfor.com.cn,7c96a8230be3cd3e663cb352c1ca07b4.sangfordns.com.,CNAME,2022-11-12
69,learnin.sangfor.com.cn,site.sangfor.com.cn.,CNAME,2022-11-12
70,staging.sangfor.com.cn,site.sangfor.com.cn.,CNAME,2022-11-12
71,myasv.sangfor.com.cn,site.sangfor.com.cn.,CNAME,2022-11-11
72,edu.sangfor.com.cn,edu.sangfor.com.cn.wsdvs.com.,CNAME,2022-11-11
73,gov.sangfor.com.cn,site.sangfor.com.cn.,CNAME,2022-11-11
74,adesklabs.sangfor.com.cn,121.12.76.28,A,2022-11-10
75,pages.sangfor.com.cn,142.0.160.57,A,2022-11-10
76,mail9.sangfor.com.cn,site.sangfor.com.cn.,CNAME,2022-11-10
77,370.sangfor.com.cn,site.sangfor.com.cn.,CNAME,2022-11-10
78,ftp.sangfor.com.cn,site.sangfor.com.cn.,CNAME,2022-11-10
79,csic.sangfor.com.cn,47.112.252.233,A,2022-11-09
80,service.sangfor.com.cn,site.sangfor.com.cn.,CNAME,2022-11-09
81,533.sangfor.com.cn,site.sangfor.com.cn.,CNAME,2022-11-08
82,172.sangfor.com.cn,site.sangfor.com.cn.,CNAME,2022-11-08
83,mkuu.sangfor.com.cn,site.sangfor.com.cn.,CNAME,2022-11-08
84,pc1.sangfor.com.cn,site.sangfor.com.cn.,CNAME,2022-11-08
85,newweb.sangfor.com.cn,site.sangfor.com.cn.,CNAME,2022-11-08
86,bbs.sangfor.com.cn,121.46.130.30,A,2022-11-07
87,sangfor.com.cn,121.46.23.237,A,2022-11-07
88,saastest2.sangfor.com.cn,site.sangfor.com.cn.,CNAME,2022-11-07
89,100.sangfor.com.cn,site.sangfor.com.cn.,CNAME,2022-11-07
90,upd.sangfor.com.cn,121.32.254.197,A,2022-11-06
91,saastest1.sangfor.com.cn,site.sangfor.com.cn.,CNAME,2022-11-06
92,yundun.sangfor.com.cn,125.88.254.2,A,2021-11-06
93,yd.sangfor.com.cn,125.88.254.32,A,2021-11-06
94,x.sangfor.com.cn,219.135.99.248,A,2021-11-06
95,www.sangfor.com.cn,121.46.130.66,A,2021-11-06
96,wiki.sec.sangfor.com.cn,121.46.30.40,A,2021-11-06
97,weixin1.sangfor.com.cn,117.48.147.94,A,2021-11-06
98,update100.sangfor.com.cn,121.46.26.71,A,2021-11-06
99,upd2.sangfor.com.cn,121.32.254.198,A,2021-11-06
100,uedc.sangfor.com.cn,121.46.4.78,A,2021-11-06
101,topic.sangfor.com.cn,site.sangfor.com.cn.,CNAME,2021-11-06
102,svr.sangfor.com.cn,113.105.88.60,A,2021-11-06
103,sos.sangfor.com.cn,219.135.99.82,A,2021-11-06
104,soar.sangfor.com.cn,172.201.1.20,A,2021-11-06
105,sited.sangfor.com.cn,113.105.88.60,A,2021-11-06
