#,Domain,Address,Type,Date
1,e.sangfor.com,118.143.86.137,A,2023-02-17
2,link.sangfor.com,rebrandlydomain.com.,CNAME,2023-02-17
3,sip.sangfor.com,sipdir.online.lync.com.,CNAME,2023-02-13
4,w3.atrust.sangfor.com,103.98.15.6,A,2023-02-08
5,endpoint.sangfor.com,118.143.86.136,A,2023-01-31
6,registry.sangfor.com,121.46.25.184,A,2023-01-30
7,ea.sangfor.com,121.46.17.153,A,2022-11-20
8,assistant.sangfor.com,assistant.sangfor.com.wswebcdn.com.,CNAME,2022-11-20
9,upd.sangfor.com,118.143.86.153,A,2022-11-19
10,sangfor.com,151.101.130.133,A,2022-11-19
11,sangfor.com,151.101.66.133,A,2022-11-19
12,sangfor.com,151.101.194.133,A,2022-11-19
13,sangfor.com,151.101.2.133,A,2022-11-19
14,connect.sangfor.com,sangforconnect.wpengine.com.,CNAME,2022-11-18
15,bbs.sangfor.com,bbs.sangfor.com.wswebpic.com.,CNAME,2022-11-17
16,auth.sangfor.com,118.143.86.153,A,2022-11-17
17,ns-webd.sangfor.com,113.105.88.60,A,2022-11-15
18,device.sangfor.com,40.83.94.148,A,2022-11-15
19,gcs.sangfor.com,121.46.8.131,A,2022-11-15
20,ygcx.sangfor.com,121.46.30.198,A,2022-11-14
21,prm.sangfor.com,prm.sangfor.com.wswebpic.com.,CNAME,2022-11-13
22,cms.sangfor.com,43.254.158.134,A,2022-11-12
23,clt.sangfor.com,118.143.86.154,A,2022-11-11
24,wiki.sec.sangfor.com,118.143.86.152,A,2022-11-10
25,cloud.sangfor.com,121.32.254.187,A,2022-11-10
26,demo.sangfor.com,175.143.104.177,A,2022-11-09
27,epic.sangfor.com,dnspod-vip2.beian.mydnspod.net.,CNAME,2022-11-09
28,cloudwaf.sangfor.com,121.46.26.133,A,2022-11-08
29,sase.sangfor.com,202.64.242.101,A,2022-11-07
30,go.sangfor.com,52.72.49.79,A,2022-11-07
31,page.sangfor.com,s1587972869.hs.eloqua.com.,CNAME,2022-11-06
32,sec.sangfor.com,118.143.86.151,A,2022-11-06
33,x.sangfor.com,13.94.26.91,A,2021-11-06
34,www.sangfor.com,18.139.232.70,A,2021-11-06
35,wiki.sangfor.com,13.228.166.178,A,2021-11-06
36,w3.atrust.sangfor.com,39.109.68.238,A,2021-11-06
37,virtualsummit.sangfor.com,a226.vfairs.com.,CNAME,2021-11-06
38,uniportal.sangfor.com,200.200.0.188,A,2021-11-06
39,support.thailand.sangfor.com,sangfor-thailand.zendesk.com.,CNAME,2021-11-06
40,ssl.sangfor.com,54.169.70.12,A,2021-11-06
41,sangfor.com,18.139.232.70,A,2021-11-06
42,rma.sangfor.com,site.sangfor.com.cn.,CNAME,2021-11-06
43,prm2.sangfor.com,121.46.26.205,A,2021-11-06
44,p.sangfor.com,ns-webd.sangfor.com.,CNAME,2021-11-06
45,m.sangfor.com,18.139.232.70,A,2021-11-05
46,labs.sangfor.com,13.228.166.178,A,2021-11-05
47,intelligence.sangfor.com,118.143.86.153,A,2021-11-05
48,imddb.sangfor.com,52.77.246.18,A,2021-11-05
49,hr.sangfor.com,121.46.30.198,A,2021-11-05
50,go.sangfor.com,domains.clickmeter.com.,CNAME,2021-11-05
51,epic.sangfor.com,sangfor.vfairs.com.,CNAME,2021-11-05
52,ec.sangfor.com,54.169.70.12,A,2021-11-05
53,ea.sangfor.com,113.105.88.62,A,2021-11-05
54,connect.sangfor.com,sangfor.ac-page.com.,CNAME,2021-11-05
55,community.sangfor.com,13.228.166.178,A,2021-11-05
56,cms.sangfor.com,dnspod-vip2.beian.mydnspod.net.,CNAME,2021-11-05
57,cloudwafdns.sangfor.com,121.46.26.131,A,2021-11-05
58,careeross.sangfor.com,121.46.130.107,A,2021-11-05
59,analysis.sangfor.com,118.143.86.153,A,2021-11-04
60,sangfor.com,sangfor-com.mail.protection.outlook.com.,MX,2021-11-03
61,site.sangfor.com,58.251.49.45,A,2021-11-01
