#,Domain,Address,Type,Date
1,m.shein.com,m.shein.com.cdn.cloudflare.net.,CNAME,2023-02-23
2,help.shein.com,shein.zendesk.com.,CNAME,2023-02-23
3,de.shein.com,shein.com.edgekey.net.,CNAME,2023-02-23
4,arg.shein.com,arg.shein.com.cdn.cloudflare.net.,CNAME,2023-02-23
5,link-il.shein.com,link-il-shein-com.emarsys.net.,CNAME,2023-02-23
6,pl.shein.com,pl.shein.com.cdn.cloudflare.net.,CNAME,2023-02-22
7,ulp.shein.com,34.208.19.49,A,2023-02-19
8,ulp.shein.com,34.208.153.61,A,2023-02-19
9,link-es.shein.com,link-es-shein-com.emarsys.net.,CNAME,2023-02-19
10,th.shein.com,th.shein.com.cdn.cloudflare.net.,CNAME,2023-02-18
11,id.shein.com,id.shein.com.cdn.cloudflare.net.,CNAME,2023-02-18
12,hk.shein.com,35.82.237.91,A,2023-02-18
13,hk.shein.com,35.83.159.242,A,2023-02-18
14,link-ca.shein.com,link-ca-shein-com.emarsys.net.,CNAME,2023-02-17
15,link2.shein.com,link2-shein-com.emarsys.net.,CNAME,2023-02-17
16,return.shein.com,return.shein.com.cdn.cloudflare.net.,CNAME,2023-02-17
17,ar.shein.com,ar.shein.com.cdn.cloudflare.net.,CNAME,2023-02-13
18,tr.shein.com,tr.shein.com.cdn.cloudflare.net.,CNAME,2023-02-13
19,www.shein.com,www.shein.com.cdn.cloudflare.net.,CNAME,2023-02-13
20,security.shein.com,security.shein.com.cdn.cloudflare.net.,CNAME,2023-02-13
21,service.shein.com,service.shein.com.ems-ci.com.,CNAME,2023-02-13
22,returnapi.shein.com,returnapi.shein.com.cdn.cloudflare.net.,CNAME,2023-02-08
23,imag2.shein.com,img2-shein-com.emarsys.net.,CNAME,2023-02-08
24,sqs-service.shein.com,34.218.185.200,A,2023-02-08
25,sqs-service.shein.com,52.33.240.65,A,2023-02-08
26,api-shein.shein.com,api-shein.shein.com.cdn.cloudflare.net.,CNAME,2023-02-03
27,link-mx.shein.com,link-mx-shein-com.emarsys.net.,CNAME,2023-01-31
28,ph.shein.com,ph.shein.com.cdn.cloudflare.net.,CNAME,2023-01-31
29,cn3-mt183.notice.shein.com,5.63.28.183,A,2023-01-30
30,link-de.shein.com,link-de-shein-com.emarsys.net.,CNAME,2023-01-30
31,tw.shein.com,35.83.159.242,A,2023-01-30
32,tw.shein.com,35.82.237.91,A,2023-01-30
33,se.shein.com,35.82.237.91,A,2023-01-30
34,se.shein.com,35.83.159.242,A,2023-01-30
35,in.shein.com,35.82.237.91,A,2023-01-30
36,in.shein.com,35.83.159.242,A,2023-01-30
37,t.mail.shein.com,103.230.34.255,A,2023-01-29
38,arg.shein.com,arg.shein.com.edgekey.net.,CNAME,2022-11-20
39,link-tw.shein.com,link-tw-shein-com.emarsys.net.,CNAME,2022-11-20
40,br.shein.com,shein.com.edgekey.net.,CNAME,2022-11-20
41,ca.shein.com,ca.shein.com.edgekey.net.,CNAME,2022-11-20
42,link.shein.com,link-shein-com.emarsys.net.,CNAME,2022-11-20
43,cl.shein.com,cl.shein.com.edgekey.net.,CNAME,2022-11-19
44,in.shein.com,35.166.17.60,A,2022-11-19
45,in.shein.com,35.166.139.52,A,2022-11-19
46,link-fr.shein.com,link-fr-shein-com.emarsys.net.,CNAME,2022-11-18
47,returnapi.shein.com,returnapi.shein.com.edgekey.net.,CNAME,2022-11-18
48,pubkey.shein.com,pubkey.shein.com.edgekey.net.,CNAME,2022-11-18
49,shein.com,35.166.139.52,A,2022-11-18
50,shein.com,35.166.17.60,A,2022-11-18
51,hk.shein.com,35.166.139.52,A,2022-11-18
52,hk.shein.com,35.166.17.60,A,2022-11-18
53,il.shein.com,shein.com.edgekey.net.,CNAME,2022-11-18
54,id.shein.com,shein.com.edgekey.net.,CNAME,2022-11-17
55,social-im-wss.shein.com,social-im-wss.shein.com.edgekey.net.,CNAME,2022-11-17
56,link-eur.shein.com,link-eur-shein-com.emarsys.net.,CNAME,2022-11-17
57,callback-api.shein.com,callback-api.shein.com.edgekey.net.,CNAME,2022-11-17
58,tr.shein.com,shein.com.edgekey.net.,CNAME,2022-11-17
59,security.shein.com,security.shein.com.edgekey.net.,CNAME,2022-11-17
60,link-ru.shein.com,link-ru-shein-com.emarsys.net.,CNAME,2022-11-17
61,cn3-mt190.info-de.shein.com,5.63.28.190,A,2022-11-16
62,link3.shein.com,suite11.emarsys.net.,CNAME,2022-11-16
63,uk.shein.com,35.166.139.52,A,2022-11-15
64,uk.shein.com,35.166.17.60,A,2022-11-15
65,static.shein.com,img.romwe.com.akamaized.net.,CNAME,2022-11-14
66,th.shein.com,shein.com.edgekey.net.,CNAME,2022-11-14
67,asia.shein.com,shein.com.edgekey.net.,CNAME,2022-11-14
68,link1.shein.com,suite7.emarsys.net.,CNAME,2022-11-12
69,ph.shein.com,ph.shein.com.edgekey.net.,CNAME,2022-11-12
70,android.shein.com,shein.com.edgekey.net.,CNAME,2022-11-12
71,return.shein.com,return.shein.com.edgekey.net.,CNAME,2022-11-11
72,image.shein.com,img-sheinside-com.emarsys.net.,CNAME,2022-11-10
73,m.shein.com,shein.com.edgekey.net.,CNAME,2022-11-10
74,pl.shein.com,pl.shein.com.edgekey.net.,CNAME,2022-11-10
75,link-news.shein.com,link-news-shein-com.emarsys.net.,CNAME,2022-11-10
76,link-nl.shein.com,link-nl-shein-com.emarsys.net.,CNAME,2022-11-10
77,es.shein.com,shein.com.edgekey.net.,CNAME,2022-11-10
78,tw.shein.com,35.166.17.60,A,2022-11-10
79,tw.shein.com,35.166.139.52,A,2022-11-10
80,api-sensors-us.shein.com,35.155.218.27,A,2022-11-10
81,api-sensors-us.shein.com,35.155.105.107,A,2022-11-10
82,nz.shein.com,nz.shein.com.edgekey.net.,CNAME,2022-11-10
83,api-service.shein.com,api-service.shein.com.edgekey.net.,CNAME,2022-11-10
84,ar.shein.com,shein.com.edgekey.net.,CNAME,2022-11-08
85,api-sensors.shein.com,origin-api-sensors.shein.com.,CNAME,2022-11-08
86,origin-api-sensors.shein.com,35.155.218.27,A,2022-11-08
87,origin-api-sensors.shein.com,35.155.105.107,A,2022-11-08
88,www.shein.com,shein.com.edgekey.net.,CNAME,2022-11-08
89,se.shein.com,35.166.139.52,A,2022-11-08
90,se.shein.com,35.166.17.60,A,2022-11-08
91,api-shein.shein.com,api-shein.shein.com.edgekey.net.,CNAME,2022-11-08
92,it.shein.com,shein.com.edgekey.net.,CNAME,2022-11-07
93,link.emaila.shein.com,link-emaila-shein-com.emarsys.net.,CNAME,2022-11-06
94,help.shein.com,shein.zendesk.com,CNAME,2021-11-18
95,app.shein.com,shein.com.edgekey.net,CNAME,2021-11-18
96,es.shein.com,e29831.b.akamaiedge.net,CNAME,2021-11-18
97,app.shein.com,e29831.b.akamaiedge.net,CNAME,2021-11-18
98,my.shein.com,e29831.b.akamaiedge.net,CNAME,2021-11-18
99,es.shein.com,shein.com.edgekey.net,CNAME,2021-11-18
100,fr.shein.com,e29831.b.akamaiedge.net,CNAME,2021-11-18
101,fr.shein.com,shein.com.edgekey.net,CNAME,2021-11-18
102,www.shein.com,shein.com.edgekey.net,CNAME,2021-11-18
103,de.shein.com,shein.com.edgekey.net,CNAME,2021-11-18
104,de.shein.com,e29831.b.akamaiedge.net,CNAME,2021-11-18
105,www.shein.com,e29831.b.akamaiedge.net,CNAME,2021-11-18
106,my.shein.com,my.shein.com.edgekey.net,CNAME,2021-11-18
107,count.shein.com,count.shein.com.edgekey.net,CNAME,2021-11-13
108,count.shein.com,e29831.b.akamaiedge.net,CNAME,2021-11-13
109,api-shein.shein.com,e29831.b.akamaiedge.net,CNAME,2021-11-10
110,api-shein.shein.com,api-shein.shein.com.edgekey.net,CNAME,2021-11-10
111,us.shein.com,shein.com.edgekey.net.,CNAME,2021-11-06
112,sg.shein.com,sg.shein.com.edgekey.net.,CNAME,2021-11-06
113,ru.shein.com,shein.com.edgekey.net.,CNAME,2021-11-06
114,origin-src.shein.com,34.214.90.238,A,2021-11-06
115,nl.shein.com,shein.com.edgekey.net.,CNAME,2021-11-06
116,mx.shein.com,35.166.17.60,A,2021-11-06
117,link-us.shein.com,link-us-shein-com.emarsys.net.,CNAME,2021-11-05
118,link-it.shein.com,link-it-shein-com.emarsys.net.,CNAME,2021-11-05
119,install.shein.com,52.27.250.146,A,2021-11-05
120,img.shein.com,img.shein.com.edgekey.net.,CNAME,2021-11-05
121,img-ru.shein.com,img-ru-shein-com.emarsys.net.,CNAME,2021-11-05
122,fr.shein.com,shein.com.edgekey.net.,CNAME,2021-11-05
123,eur.shein.com,eur.shein.com.edgekey.net.,CNAME,2021-11-05
124,count.shein.com,count.shein.com.edgekey.net.,CNAME,2021-11-05
125,cn3-mt189.info-de.shein.com,5.63.28.189,A,2021-11-05
126,cn3-mt169.notice.shein.com,5.63.28.169,A,2021-11-05
127,cn3-mt181.notice.shein.com,5.63.28.181,A,2021-11-05
128,cn3-mt168.notice.shein.com,5.63.28.168,A,2021-11-05
129,cn3-mt180.notice.shein.com,5.63.28.180,A,2021-11-05
130,cn3-mt182.notice.shein.com,5.63.28.182,A,2021-11-05
131,auth.shein.com,34.209.187.35,A,2021-11-04
132,auth.shein.com,34.209.2.150,A,2021-11-04
133,au.shein.com,shein.com.edgekey.net.,CNAME,2021-11-04
134,shein.com,mxbiz1.qq.com.,MX,2021-11-03
135,shein.com,mxbiz2.qq.com.,MX,2021-11-03
