#,Domain,Address,Type,Date
1,alioss.shuidihuzhu.com,alioss.shuidihuzhu.com.m.alikunlun.com.,CNAME,2023-02-13
2,pay.shuidihuzhu.com,140.143.218.70,A,2023-01-31
3,mail.shuidihuzhu.com,ssl.exmail.qq.com.,CNAME,2023-01-30
4,avatar.shuidihuzhu.com,avatar.shuidihuzhu.com.cdn.dnsv1.com.,CNAME,2023-01-29
5,shuidihuzhu.com,140.143.218.70,A,2022-11-18
6,default.lb.shuidihuzhu.com,140.143.218.70,A,2022-11-15
7,txcrt.shuidihuzhu.com,txcrt.shuidihuzhu.com.cdn.dnsv1.com.,CNAME,2022-11-13
8,avatar.shuidihuzhu.com,avatar.shuidihuzhu.com.c.cdnhwc1.com.,CNAME,2022-11-13
9,s2.shuidihuzhu.com,s2.shuidihuzhu.com.cdn.dnsv1.com.,CNAME,2022-11-11
10,store.shuidihuzhu.com,store.shuidihuzhu.com.c.cdnhwc1.com.,CNAME,2022-11-08
11,cdn.shuidihuzhu.com,cdn.shuidihuzhu.com.m.alikunlun.com.,CNAME,2022-11-07
12,passport.shuidihuzhu.com,default.lb.shuidihuzhu.com.,CNAME,2022-11-06
13,www.shuidihuzhu.com,default.lb.shuidihuzhu.com.,CNAME,2021-11-06
14,security.shuidihuzhu.com,140.143.218.70,A,2021-11-06
15,s1.shuidihuzhu.com,s1.shuidihuzhu.com.w.kunlunpi.com.,CNAME,2021-11-06
16,lib.shuidihuzhu.com,lib.shuidihuzhu.com.cdn.dnsv1.com.,CNAME,2021-11-05
17,ds.shuidihuzhu.com,140.143.116.132,A,2021-11-05
18,ds.shuidihuzhu.com,140.143.218.70,A,2021-11-05
19,da.shuidihuzhu.com,default.lb.shuidihuzhu.com.,CNAME,2021-11-05
20,auth.shuidihuzhu.com,default.lb.shuidihuzhu.com.,CNAME,2021-11-04
21,api.shuidihuzhu.com,default.lb.shuidihuzhu.com.,CNAME,2021-11-04
22,shuidihuzhu.com,mxbiz1.qq.com.,MX,2021-11-03
23,aixinchou.shuidihuzhu.com,gate.shuidihuzhu.com.,CNAME,2021-11-02
24,www.shuidihuzhu.com,default.lb.shuidihuzhu.com,CNAME,2021-10-06
25,txcrt.shuidihuzhu.com,bpvy74e1.sched.s2.tdnsv5.com,CNAME,2021-10-06
26,store.shuidihuzhu.com,hcdnw101.gslb.c.cdnhwc2.com,CNAME,2021-10-06
27,s2.shuidihuzhu.com,cdn-1tke6l97.sched.s2.tdnsv5.com,CNAME,2021-10-06
28,s1.shuidihuzhu.com,s1.shuidihuzhu.com.w.kunlunpi.com,CNAME,2021-10-06
29,passport.shuidihuzhu.com,default.lb.shuidihuzhu.com,CNAME,2021-10-06
30,mail.shuidihuzhu.com,ssl.exmail.qq.com,CNAME,2021-10-05
31,lib.shuidihuzhu.com,cdn-kiak9idz.sched.s2.tdnsv5.com,CNAME,2021-10-05
32,da.shuidihuzhu.com,default.lb.shuidihuzhu.com,CNAME,2021-10-05
33,cdn.shuidihuzhu.com,cdn.shuidihuzhu.com.m.alikunlun.com,CNAME,2021-10-04
34,avatar.shuidihuzhu.com,hcdnw101.gslb.c.cdnhwc2.com,CNAME,2021-10-04
35,api.shuidihuzhu.com,default.lb.shuidihuzhu.com,CNAME,2021-10-04
36,alioss.shuidihuzhu.com,alioss.shuidihuzhu.com.m.alikunlun.com,CNAME,2021-10-04
37,shuidihuzhu.com,mxbiz1.qq.com,MX,2021-10-03
38,shuidihuzhu.com,mxbiz2.qq.com,MX,2021-10-03
39,txcrt.shuidihuzhu.com,txcrt.shuidihuzhu.com.cdn.dnsv1.com,CNAME,2021-10-02
40,store.shuidihuzhu.com,store.shuidihuzhu.com.c.cdnhwc1.com,CNAME,2021-10-02
41,s2.shuidihuzhu.com,s2.shuidihuzhu.com.cdn.dnsv1.com,CNAME,2021-10-02
42,lib.shuidihuzhu.com,lib.shuidihuzhu.com.cdn.dnsv1.com,CNAME,2021-10-02
43,avatar.shuidihuzhu.com,avatar.shuidihuzhu.com.cdn.dnsv1.com,CNAME,2021-10-02
44,auth.shuidihuzhu.com,default.lb.shuidihuzhu.com,CNAME,2021-10-02
45,aixinchou.shuidihuzhu.com,gate.shuidihuzhu.com,CNAME,2021-10-02
46,avatar.shuidihuzhu.com,cdn-1uqdui1p.sched.s2.tdnsv5.com,CNAME,2021-08-04
47,txcrt.shuidihuzhu.com,bpvy74e1.s2.cdntip.com,CNAME,2021-07-18
