#,Domain,Address,Type,Date
1,extranet-public-ipv6.vip.soulapp.cn,2400:3200:1500::169,AAAA,2023-02-23
2,extranet-public-ipv6.vip.soulapp.cn,2400:3200:1500::1fb,AAAA,2023-02-23
3,extranet-public-ipv6.vip.soulapp.cn,2400:3200:1500::70,AAAA,2023-02-23
4,chat.soulapp.cn,static-resource.vip.soulapp.cn.,CNAME,2023-02-23
5,m.soulapp.cn,static-resource.vip.soulapp.cn.,CNAME,2023-02-23
6,static-resource.vip.soulapp.cn,47.97.112.85,A,2023-02-19
7,www.soulapp.cn,static-resource.vip.soulapp.cn.,CNAME,2023-02-19
8,static-resource.vip.soulapp.cn,47.97.98.26,A,2023-02-19
9,hkngx1.vip.soulapp.cn,47.75.72.47,A,2023-02-18
10,extranet-public-inner.vip.soulapp.cn,172.16.163.120,A,2023-02-17
11,extranet-public-inner.vip.soulapp.cn,172.16.163.119,A,2023-02-17
12,adminservice-v2.soulapp.cn,extranet-public-inner.vip.soulapp.cn.,CNAME,2023-02-17
13,extranet-public-inner.vip.soulapp.cn,172.16.160.164,A,2023-02-17
14,soulapp.cn,47.97.98.26,A,2023-02-17
15,soulapp.cn,47.97.112.85,A,2023-02-17
16,ad-audit-provider.soulapp.cn,extranet-public.vip.soulapp.cn.,CNAME,2023-02-17
17,extranet-public.vip.soulapp.cn,47.96.15.52,A,2023-02-17
18,extranet-public.vip.soulapp.cn,121.40.223.210,A,2023-02-17
19,extranet-public.vip.soulapp.cn,116.62.220.39,A,2023-02-17
20,api-pay.soulapp.cn,hkngx.vip.soulapp.cn.,CNAME,2023-02-13
21,ad.soulapp.cn,extranet-public.vip.soulapp.cn.,CNAME,2023-02-08
22,gateway.mobile-gray.soulapp.cn,extranet-public.vip.soulapp.cn.,CNAME,2023-02-08
23,img.soulapp.cn,img.soulapp.cn.w.cdngslb.com.,CNAME,2023-02-03
24,extranet-public-ipv6.vip.soulapp.cn,47.96.15.52,A,2023-01-31
25,extranet-public-ipv6.vip.soulapp.cn,116.62.220.39,A,2023-01-31
26,extranet-public-ipv6.vip.soulapp.cn,121.40.223.210,A,2023-01-31
27,api.soulapp.cn,8.210.3.170,A,2023-01-30
28,china-img.soulapp.cn,china-img.soulapp.cn.w.cdngslb.com.,CNAME,2022-11-20
29,api-b-ipv6.vip.soulapp.cn,116.62.114.76,A,2022-11-20
30,group-message.soulapp.cn,api-b-ipv6.vip.soulapp.cn.,CNAME,2022-11-20
31,api-b-ipv6.vip.soulapp.cn,101.37.35.39,A,2022-11-20
32,api-b-ipv6.vip.soulapp.cn,121.41.43.65,A,2022-11-20
33,datacollector-sea.soulapp.cn,94.74.88.24,A,2022-11-20
34,zt-ipv6.vip.soulapp.cn,47.96.3.151,A,2022-11-20
35,game-entrance.soulapp.cn,zt-ipv6.vip.soulapp.cn.,CNAME,2022-11-20
36,zt-ipv6.vip.soulapp.cn,47.98.196.111,A,2022-11-20
37,api.promoter.soulapp.cn,ad.vip.soulapp.cn.,CNAME,2022-11-19
38,ad.vip.soulapp.cn,116.62.69.237,A,2022-11-19
39,ad.vip.soulapp.cn,116.62.189.89,A,2022-11-19
40,ad.soulapp.cn,ad.vip.soulapp.cn.,CNAME,2022-11-17
41,api-ipv6.vip.soulapp.cn,120.55.86.207,A,2022-11-16
42,api-ipv6.vip.soulapp.cn,47.98.249.183,A,2022-11-16
43,api-pay.soulapp.cn,api-ipv6.vip.soulapp.cn.,CNAME,2022-11-16
44,api-ipv6.vip.soulapp.cn,47.98.236.150,A,2022-11-16
45,static.cdn.soulapp.cn,static.cdn.soulapp.cn.w.cdngslb.com.,CNAME,2022-11-16
46,api-account.soulapp.cn,hkngx.vip.soulapp.cn.,CNAME,2022-11-16
47,hkngx.vip.soulapp.cn,8.210.3.170,A,2022-11-16
48,zt.vip.soulapp.cn,47.98.196.111,A,2022-11-15
49,roi.soulapp.cn,zt.vip.soulapp.cn.,CNAME,2022-11-15
50,zt.vip.soulapp.cn,47.96.3.151,A,2022-11-15
51,api.vip.soulapp.cn,47.98.249.183,A,2022-11-15
52,api.vip.soulapp.cn,120.55.86.207,A,2022-11-15
53,api.vip.soulapp.cn,47.98.236.150,A,2022-11-15
54,data-collector.soulapp.cn,api-b-ipv6.vip.soulapp.cn.,CNAME,2022-11-15
