#,Domain,Address,Type,Date
1,security.t3go.cn,waf.t3go.cn.,CNAME,2023-02-23
2,waf.t3go.cn,121.36.220.180,A,2023-02-19
3,waf.t3go.cn,121.37.134.39,A,2023-02-19
4,gateway.t3go.cn,waf.t3go.cn.,CNAME,2023-02-19
5,waf.t3go.cn,123.60.34.69,A,2023-02-19
6,waf.t3go.cn,124.71.144.189,A,2023-02-19
7,waf.t3go.cn,124.70.199.104,A,2023-02-19
8,waf.t3go.cn,123.60.34.70,A,2023-02-19
9,passenger.t3go.cn,waf.t3go.cn.,CNAME,2023-02-18
10,pop3.t3go.cn,pop3.mxhichina.com.,CNAME,2023-02-13
11,branch-openvpn.t3go.cn,123.60.34.19,A,2023-02-08
12,socket.t3go.cn,123.60.34.48,A,2023-01-31
13,test.df.t3go.cn,113.207.104.165,A,2023-01-30
14,static.t3go.cn,static.t3go.cn.0bed3a45.c.cdnhwc1.com.,CNAME,2023-01-30
15,gtm.t3go.cn,123.60.34.67,A,2022-11-20
16,gtm.t3go.cn,123.60.34.68,A,2022-11-20
17,metrics.t3go.cn,gtm.t3go.cn.,CNAME,2022-11-20
18,enterprise.t3go.cn,waf.t3go.cn.,CNAME,2022-11-19
19,autopilot-dev.t3go.cn,123.60.34.23,A,2022-11-16
20,vip.t3go.cn,gtm.t3go.cn.,CNAME,2022-11-15
21,ntp.t3go.cn,123.60.34.66,A,2022-11-15
22,t3go.cn,123.60.34.67,A,2022-11-13
23,t3go.cn,123.60.34.68,A,2022-11-13
24,tracker.t3go.cn,waf.t3go.cn.,CNAME,2022-11-08
25,www.t3go.cn,gtm.t3go.cn,CNAME,2021-11-10
26,vip.t3go.cn,gtm.t3go.cn,CNAME,2021-11-10
27,s.t3go.cn,gtm.t3go.cn,CNAME,2021-11-10
28,wwww.t3go.cn,gtm.t3go.cn,CNAME,2021-11-10
29,vpn1.t3go.cn,branch-openvpn.t3go.cn,CNAME,2021-11-10
30,tracker.t3go.cn,gtm.t3go.cn,CNAME,2021-11-10
31,static.t3go.cn,hcdnw101.gslb.c.cdnhwc2.com,CNAME,2021-11-10
32,static.t3go.cn,static.t3go.cn.0bed3a45.c.cdnhwc1.com,CNAME,2021-11-10
33,special.t3go.cn,gtm.t3go.cn,CNAME,2021-11-10
34,smtp.t3go.cn,smtp.mxhichina.com,CNAME,2021-11-10
35,pop3.t3go.cn,pop3.mxhichina.com,CNAME,2021-11-10
36,pay.t3go.cn,gtm.t3go.cn,CNAME,2021-11-10
37,oa.t3go.cn,gtm.t3go.cn,CNAME,2021-11-10
38,metrics.t3go.cn,gtm.t3go.cn,CNAME,2021-11-10
39,mail.t3go.cn,mail.mxhichina.com,CNAME,2021-11-10
40,l.t3go.cn,gtm.t3go.cn,CNAME,2021-11-10
41,imap.t3go.cn,imap.mxhichina.com,CNAME,2021-11-10
42,gateway.t3go.cn,gtm.t3go.cn,CNAME,2021-11-10
43,enterprise.t3go.cn,gtm.t3go.cn,CNAME,2021-11-10
44,download.t3go.cn,gtm.t3go.cn,CNAME,2021-11-10
45,cube.t3go.cn,gtm.t3go.cn,CNAME,2021-11-10
46,bi.t3go.cn,gtm.t3go.cn,CNAME,2021-11-10
47,app.t3go.cn,gtm.t3go.cn,CNAME,2021-11-10
48,upload.t3go.cn,123.60.34.112,A,2021-11-10
49,sslvpn.t3go.cn,221.6.47.190,A,2021-11-10
50,security.t3go.cn,113.207.104.132,A,2021-11-10
51,gtm.t3go.cn,124.70.199.104,A,2021-11-10
52,gtm.t3go.cn,124.71.144.189,A,2021-11-10
53,gtm.t3go.cn,121.37.134.39,A,2021-11-10
54,gtm.t3go.cn,121.36.220.180,A,2021-11-10
55,www.t3go.cn,gtm.t3go.cn.,CNAME,2021-11-06
56,t3go.cn,123.60.34.69,A,2021-11-06
57,t3go.cn,123.60.34.70,A,2021-11-06
58,passenger.t3go.cn,gtm.t3go.cn.,CNAME,2021-11-06
59,gtm.t3go.cn,123.60.34.70,A,2021-11-05
60,gtm.t3go.cn,123.60.34.69,A,2021-11-05
