#,Domain,Address,Type,Date
1,item.tuhu.cn,wan-lb-2.tuhu.cn.,CNAME,2023-02-23
2,wan-lb-2.tuhu.cn,2403:2040:0:8018:0:10:1:2,AAAA,2023-02-23
3,wan-lb-2.tuhu.cn,2403:a200:a100:1:0:1:0:2,AAAA,2023-02-23
4,wan-lb-6.tuhu.cn,2403:2040:0:8018:0:10:1:6,AAAA,2023-02-23
5,im.tuhu.cn,wan-lb-6.tuhu.cn.,CNAME,2023-02-23
6,wan-lb-6.tuhu.cn,2403:a200:a100:1:0:1:0:6,AAAA,2023-02-23
7,by.tuhu.cn,wan-lb-2.tuhu.cn.,CNAME,2023-02-23
8,taijin-logistics.tuhu.cn,wan-lb-8.tuhu.cn.,CNAME,2023-02-23
9,wan-lb-8.tuhu.cn,2403:a200:a100:1:0:1:0:8,AAAA,2023-02-23
10,wan-lb-8.tuhu.cn,2403:2040:0:8018:0:10:1:8,AAAA,2023-02-23
11,wan-lb-5.tuhu.cn,2403:2040:0:8018:0:10:1:5,AAAA,2023-02-23
12,wan-lb-5.tuhu.cn,2403:a200:a100:1:0:1:0:5,AAAA,2023-02-23
13,res.tuhu.cn,wan-lb-2.tuhu.cn.,CNAME,2023-02-23
14,l.tuhu.cn,wan-lb-2.tuhu.cn.,CNAME,2023-02-23
15,wiki.tuhu.cn,wan-lb-2.tuhu.cn.,CNAME,2023-02-23
16,wxut.tuhu.cn,wan-lb-1.tuhu.cn.,CNAME,2023-02-23
17,wan-lb-1.tuhu.cn,2403:a200:a100:1:0:1:0:1,AAAA,2023-02-23
18,wan-lb-1.tuhu.cn,2403:2040:0:8018:0:10:1:1,AAAA,2023-02-23
19,wan-lb-2.tuhu.cn,120.133.255.49,A,2023-02-17
20,wan-lb-2.tuhu.cn,122.144.144.130,A,2023-02-17
21,wan-lb-2.tuhu.cn,211.148.19.67,A,2023-02-17
22,passport.tuhu.cn,wan-lb-2.tuhu.cn.,CNAME,2023-02-13
23,image.tuhu.cn,image.tuhu.cn.cdn.dnsv1.com.,CNAME,2023-02-13
24,shop.tuhu.cn,lb.tuhu.cn.,CNAME,2022-11-20
25,lb.tuhu.cn,103.36.136.28,A,2022-11-20
26,lb.tuhu.cn,211.148.18.188,A,2022-11-20
27,wan-lb-1.tuhu.cn,211.148.19.66,A,2022-11-20
28,wan-lb-1.tuhu.cn,120.133.255.48,A,2022-11-20
29,wan-lb-1.tuhu.cn,122.144.144.129,A,2022-11-20
30,cashierapi.tuhu.cn,wan-lb-6.tuhu.cn.,CNAME,2022-11-20
31,wan-lb-6.tuhu.cn,211.148.19.71,A,2022-11-20
32,wan-lb-6.tuhu.cn,122.144.144.134,A,2022-11-20
33,wan-lb-6.tuhu.cn,120.133.255.53,A,2022-11-20
34,xueadmin.tuhu.cn,lb.tuhu.cn.,CNAME,2022-11-19
35,passport.tuhu.cn,lb.tuhu.cn.,CNAME,2022-11-18
36,www.tuhu.cn,wan-lb-3.tuhu.cn.,CNAME,2022-11-18
37,wan-lb-3.tuhu.cn,120.133.255.50,A,2022-11-18
38,wan-lb-3.tuhu.cn,122.144.144.131,A,2022-11-18
39,wan-lb-3.tuhu.cn,211.148.19.68,A,2022-11-18
40,l.tuhu.cn,lb.tuhu.cn.,CNAME,2022-11-18
41,bgp-cn.tuhu.cn,103.36.136.21,A,2022-11-18
42,bgp-cn.tuhu.cn,211.148.18.181,A,2022-11-18
43,im.tuhu.cn,lb.tuhu.cn.,CNAME,2022-11-17
44,wan-lb-4.tuhu.cn,122.144.144.132,A,2022-11-16
45,wan-lb-4.tuhu.cn,211.148.19.69,A,2022-11-16
46,wan-lb-4.tuhu.cn,120.133.255.51,A,2022-11-16
47,tuhu.cn,211.148.18.188,A,2022-11-16
48,tuhu.cn,103.36.136.28,A,2022-11-16
49,wan-lb-5.tuhu.cn,120.133.255.52,A,2022-11-16
50,wan-lb-5.tuhu.cn,211.148.19.70,A,2022-11-16
51,wan-lb-5.tuhu.cn,122.144.144.133,A,2022-11-16
52,lb-ut.tuhu.cn,lb.tuhu.cn.,CNAME,2022-11-16
53,api.tuhu.cn,lb.tuhu.cn.,CNAME,2022-11-14
54,bgp-com.tuhu.cn,lb.tuhu.cn.,CNAME,2022-11-13
55,huodong.tuhu.cn,wan-lb-5.tuhu.cn.,CNAME,2022-11-12
56,wx.tuhu.cn,lb.tuhu.cn.,CNAME,2022-11-12
57,mkt-gateway.tuhu.cn,lb.tuhu.cn.,CNAME,2022-11-11
58,bridgestone.tuhu.cn,119.3.11.2,A,2022-11-10
59,wiki.tuhu.cn,lb.tuhu.cn.,CNAME,2022-11-10
60,my.tuhu.cn,lb.tuhu.cn.,CNAME,2022-11-08
61,res.tuhu.cn,lb.tuhu.cn.,CNAME,2022-11-08
62,t.tuhu.cn,lb.tuhu.cn.,CNAME,2022-11-08
63,gitlab.tuhu.cn,lb.tuhu.cn.,CNAME,2022-11-08
64,inout.tuhu.cn,wan-lb-2.tuhu.cn.,CNAME,2022-11-07
65,cn-http.tuhu.cn,lb.tuhu.cn.,CNAME,2022-11-06
66,bgp-com.tuhu.cn,103.36.136.28,A,2021-11-13
67,bgp-com.tuhu.cn,211.148.18.188,A,2021-11-13
68,xue.tuhu.cn,lb.tuhu.cn.,CNAME,2021-11-06
69,xueapi.tuhu.cn,lb.tuhu.cn.,CNAME,2021-11-06
70,wxut.tuhu.cn,lb-ut.tuhu.cn.,CNAME,2021-11-06
71,www.tuhu.cn,lb.tuhu.cn.,CNAME,2021-11-06
72,vssubserver.tuhu.cn,bgp-cn.tuhu.cn.,CNAME,2021-11-06
73,mr.tuhu.cn,lb.tuhu.cn.,CNAME,2021-11-06
74,mkt-advertisement.tuhu.cn,lb.tuhu.cn.,CNAME,2021-11-06
75,lb-ut.tuhu.cn,gw.tuhu.cn.,CNAME,2021-11-05
76,inout.tuhu.cn,lb.tuhu.cn.,CNAME,2021-11-05
77,huodong.tuhu.cn,lb.tuhu.cn.,CNAME,2021-11-05
78,gw.tuhu.cn,lb.tuhu.cn.,CNAME,2021-11-05
79,cl-gateway.tuhu.cn,103.36.136.28,A,2021-11-05
80,cl-gateway.tuhu.cn,211.148.18.188,A,2021-11-05
81,cashierapi.tuhu.cn,211.148.18.188,A,2021-11-05
82,cashierapi.tuhu.cn,103.36.136.28,A,2021-11-05
83,by.tuhu.cn,211.148.18.188,A,2021-11-04
84,by.tuhu.cn,103.36.136.28,A,2021-11-04
85,access.tuhu.cn,lb.tuhu.cn.,CNAME,2021-11-04
86,tuhu.cn,mxbiz1.qq.com.,MX,2021-11-03
87,tuhu.cn,mxbiz2.qq.com.,MX,2021-11-03
88,resource.tuhu.cn,resource.tuhu.cn.cdn20.com.,CNAME,2021-11-02
89,cashierapi.tuhu.cn,2402:4e00:1403:1900:0:9308:ada8:874a,AAAA,2021-11-01
90,xueadmin.tuhu.cn,lb.tuhu.cn,CNAME,2021-10-06
91,wx.tuhu.cn,lb.tuhu.cn,CNAME,2021-10-06
92,www.tuhu.cn,lb.tuhu.cn,CNAME,2021-10-06
93,wiki.tuhu.cn,lb.tuhu.cn,CNAME,2021-10-06
94,vssubserver.tuhu.cn,bgp-cn.tuhu.cn,CNAME,2021-10-06
95,mr.tuhu.cn,lb.tuhu.cn,CNAME,2021-10-05
96,mkt-gateway.tuhu.cn,lb.tuhu.cn,CNAME,2021-10-05
97,mkt-advertisement.tuhu.cn,lb.tuhu.cn,CNAME,2021-10-05
98,lb-ut.tuhu.cn,lb.tuhu.cn,CNAME,2021-10-05
99,l.tuhu.cn,lb.tuhu.cn,CNAME,2021-10-05
100,item.tuhu.cn,211.148.18.188,A,2021-10-05
