#,Domain,Address,Type,Date
1,dr.vip.com,dr.vip.com.vipgslb.com.,CNAME,2023-02-23
2,txz.vip.com,shp.vip.com.,CNAME,2023-02-23
3,shp.vip.com,mst.vip.vipgslb.com.,CNAME,2023-02-23
4,vmark.vip.com,vmark.vip.com.vipgslb.com.,CNAME,2023-02-23
5,mzt-qq-test.vip.com,mzt-qq-test.vip.com.cloud.cdntip.com.,CNAME,2023-02-23
6,hutlon.vip.com,shp.vip.com.,CNAME,2023-02-23
7,jingxuan.vip.com,wxk.vip.com.vipgslb.com.,CNAME,2023-02-23
8,checkout-ssl.vip.com,checkout.vip.com.vipgslb.com.,CNAME,2023-02-23
9,pmsgw.vip.com,pmsgw.vip.com.vipgslb.com.,CNAME,2023-02-23
10,union.vip.com,cps-union.vip.com.vipgslb.com.,CNAME,2023-02-23
11,s1.vip.com,s1.vip.com.vipgslb.com.,CNAME,2023-02-23
12,wap.vip.com,m.vip.vipgslb.com.,CNAME,2023-02-23
13,mst-js2-cu.vip.com,js2-cu.vip.com.,CNAME,2023-02-23
14,hts-customs-api.vip.com,hts-customs-api.vip.com.vipgslb.com.,CNAME,2023-02-23
15,lc.vip.com,lc.vip.com.vipgslb.com.,CNAME,2023-02-23
16,mlc.vip.com,mlc.vip.com.vipgslb.com.,CNAME,2023-02-23
17,vcsp-api.vip.com,vcsp-api.vip.com.vipgslb.com.,CNAME,2023-02-23
18,uvanart.vip.com,shp.vip.com.,CNAME,2023-02-23
19,acs.vip.com,acs.vip.com.vipgslb.com.,CNAME,2023-02-23
20,myvpal.vip.com,myvpal.vip.com.vipgslb.com.,CNAME,2023-02-19
21,wpc-api.vip.com,wpc-api.vip.com.vipgslb.com.,CNAME,2023-02-18
22,jr.vip.com,jr.vip.com.vipgslb.com.,CNAME,2023-02-18
23,send.vip.com,61.160.43.11,A,2023-02-18
24,app.vip.com,app.vip.com.vipgslb.com.,CNAME,2023-02-18
25,xfd-repayment.vip.com,xfd-repayment.vip.com.vipgslb.com.,CNAME,2023-02-18
26,vop.vip.com,vop.vip.com.vipgslb.com.,CNAME,2023-02-17
27,c.vtd.vip.com,c.vtd.vip.com.vipgslb.com.,CNAME,2023-02-17
28,wpms-api.vip.com,wpms-api.vip.com.vipgslb.com.,CNAME,2023-02-17
29,mobil.vip.com,shp.vip.com.,CNAME,2023-02-17
30,store.vip.com,store.vip.com.vipgslb.com.,CNAME,2023-02-17
31,m.vip.com,m.vip.vipgslb.com.,CNAME,2023-02-17
32,img2.vip.com,pic1.vip.com.vipgslb.com.,CNAME,2023-02-17
33,ps-admin.vip.com,ps-admin.vip.com.vipgslb.com.,CNAME,2023-02-17
34,mta68.send.vip.com,61.160.43.68,A,2023-02-17
35,mta126.send.vip.com,61.160.43.126,A,2023-02-17
36,mta96.send.vip.com,61.160.43.96,A,2023-02-17
37,mlogin.vip.com,mlogin.vip.vipgslb.com.,CNAME,2023-02-17
38,jason.vip.com,shp.vip.com.,CNAME,2023-02-13
39,400queue.vip.com,400queue.vip.com.vipgslb.com.,CNAME,2023-02-13
40,brand.vip.com,brand.vip.com.vipgslb.com.,CNAME,2023-02-13
41,ir.vip.com,vipshopholdingsltd.gcs-web.com.,CNAME,2023-02-13
42,marco.vip.com,shp.vip.com.,CNAME,2023-02-13
43,link-global.vip.com,suite17.emarsys.net.,CNAME,2023-02-13
44,umcedm.vip.com,umcedm.vip.com.vipgslb.com.,CNAME,2023-02-13
45,nov-admin.vip.com,nov-admin.vip.com.vipgslb.com.,CNAME,2023-02-13
46,sapi.vip.com,mapi.appvipshop.com.,CNAME,2023-02-13
47,mst-gd9-cm.vip.com,gd9-cm.vip.com.,CNAME,2023-02-13
48,hengyujia.vip.com,shp.vip.com.,CNAME,2023-02-13
49,marketplace-product.vip.com,marketplace-product.vip.com.vipgslb.com.,CNAME,2023-02-13
50,files.vip.com,files.vip.com.vipgslb.com.,CNAME,2023-02-13
51,mar.vip.com,mar.vip.com.vipgslb.com.,CNAME,2023-02-13
52,invoice-dl.vip.com,invoice-dl.vip.com.vipgslb.com.,CNAME,2023-02-09
53,mta112.send.vip.com,61.160.43.112,A,2023-02-08
54,weixin.vip.com,weixin.vip.vipgslb.com.,CNAME,2023-02-08
55,stock.vip.com,stock.vip.com.vipgslb.com.,CNAME,2023-02-08
56,vlovemother.vip.com,vlovemother.vip.com.vipgslb.com.,CNAME,2023-02-08
57,jf.vip.com,shp.vip.com.,CNAME,2023-02-08
58,detail.vip.com,detail.vip.com.vipgslb.com.,CNAME,2023-02-08
59,mx01.crm.vip.com,221.228.212.171,A,2023-02-08
60,fp.vip.com,fp.vip.com.vipgslb.com.,CNAME,2023-02-07
