#,Domain,Address,Type,Date
1,hr.webank.com,2402:4e00:1013:9000:0:93e6:27fc:8f62,AAAA,2023-02-23
2,card.test.webank.com,2402:4e00:1010:3402:0:9082:8cb0:fd07,AAAA,2023-02-23
3,_imap._tcp.cust28.rw.anaheim.anaheim.anaheim.bm.webproxy.ida.webank.com,2001::1f0d:5a04,AAAA,2023-02-23
4,root.us.ftp2.cust28.webproxy.ida.webank.com,2001::1f0d:4415,AAAA,2023-02-23
5,webstore.cm.payroll.cust28.webproxy.ida.webank.com,2001::c765:8592,AAAA,2023-02-23
6,engineering.cust93.windows02.net.3.webproxy.ida.webank.com,2001::1f0d:5805,AAAA,2023-02-23
7,_sip._udp.cust12.saturn.webproxy.ida.webank.com,2001::cc9b:9273,AAAA,2023-02-23
8,_ceph._tcp.pc46.software.cust93.skywalker.online.lv.webproxy.ida.webank.com,2001::45ab:ed15,AAAA,2023-02-23
9,gandalf.cust93.payroll.pc43.anaheim.payroll.windows02.pc43.lab.webproxy.ida.webank.com,2001::8079:f3e4,AAAA,2023-02-23
10,tracev6.webank.com,2402:4e00:4011:1409::14,AAAA,2023-02-23
11,tracev6.webank.com,2402:4e00:4011:150b::14,AAAA,2023-02-23
12,weidentity.webank.com,dnspod-vip4.beian.mydnspod.net.,CNAME,2023-02-22
13,w.webank.com,193.112.233.30,A,2023-02-19
14,w.webank.com,119.29.44.161,A,2023-02-19
15,_imap._tcp.cust28.rw.anaheim.anaheim.anaheim.bm.webproxy.ida.webank.com,69.171.224.40,A,2023-02-19
16,root.us.ftp2.cust28.webproxy.ida.webank.com,128.242.240.218,A,2023-02-18
17,card.webank.com,119.29.44.161,A,2023-02-18
18,card.webank.com,193.112.233.30,A,2023-02-18
19,webstore.cm.payroll.cust28.webproxy.ida.webank.com,108.160.169.181,A,2023-02-18
20,engineering.cust93.windows02.net.3.webproxy.ida.webank.com,199.59.149.238,A,2023-02-18
21,_sip._udp.cust12.saturn.webproxy.ida.webank.com,199.59.148.209,A,2023-02-18
22,gandalf.cust93.payroll.pc43.anaheim.payroll.windows02.pc43.lab.webproxy.ida.webank.com,69.171.234.48,A,2023-02-18
23,_ceph._tcp.pc46.software.cust93.skywalker.online.lv.webproxy.ida.webank.com,108.160.165.141,A,2023-02-18
24,smewyd.webank.com,109.244.71.110,A,2023-02-17
25,smewyd.webank.com,109.244.67.135,A,2023-02-17
26,smewyd.webank.com,109.244.67.24,A,2023-02-17
27,smewyd.webank.com,109.244.71.228,A,2023-02-17
28,_imap._tcp.cust28.rw.anaheim.anaheim.anaheim.bm.webproxy.ida.webank.com,199.59.150.45,A,2023-02-08
