#,Domain,Address,Type,Date
1,pl.live.weibo.com,weiboplive.gslb.sinaedge.com.,CNAME,2023-02-23
2,fx.weibo.com,e.dpool.weibo.com.,CNAME,2023-02-23
3,static.weibo.com,jsimgopen.gslb.sinaedge.com.,CNAME,2023-02-23
4,weicolog.api.weibo.com,weibo.cn.,CNAME,2023-02-23
5,music.weibo.com,weibo.cn.,CNAME,2023-02-23
6,hotel.travel.weibo.com,w5.dpool.sina.com.cn.,CNAME,2023-02-23
7,store.wan.weibo.com,storewan.gslb.sinaedge.com.,CNAME,2023-02-23
8,live.media.weibo.com,weibo.cn.,CNAME,2023-02-23
9,book.weibo.com,book.weibo.cn.,CNAME,2023-02-23
10,steve-jobs.weibo.com,e.dpool.weibo.com.,CNAME,2023-02-23
11,px.e.weibo.com,content.dpool.weibo.com.,CNAME,2023-02-23
12,image.game.weibo.com,sinastorage.com.,CNAME,2023-02-23
13,gouwu.sc.weibo.com,alb00000024.dpool.sina.com.cn.,CNAME,2023-02-23
14,gov.weibo.com,weibo.cn.,CNAME,2023-02-23
15,imgstar.weibo.com,imgstar.gslb.sinaedge.com.,CNAME,2023-02-23
16,p7.biz.weibo.com,g7.biz.weibo.com.,CNAME,2023-02-23
17,kandian.weibo.com,kandian.com.,CNAME,2023-02-23
18,whds.sc.weibo.com,alb00000024.dpool.sina.com.cn.,CNAME,2023-02-23
19,api.card.weibo.com,card.dpool.sina.com.cn.,CNAME,2023-02-22
20,sae.hd.weibo.com,wbhuodong.sinaapp.com.,CNAME,2023-02-22
21,a.dpool.weibo.com,49.7.36.161,A,2023-02-19
22,ecom.dpool.weibo.com,180.149.134.147,A,2023-02-19
23,dianshi.weibo.com,weiboproxy.dpool.sina.com.cn.,CNAME,2023-02-19
24,g7.biz.weibo.com,36.51.224.25,A,2023-02-19
25,dasai.manhua.weibo.com,manhua.weibo.com.,CNAME,2023-02-19
26,manhua.weibo.com,39.156.6.176,A,2023-02-19
27,shop.sc.weibo.com,alb00000024.dpool.sina.com.cn.,CNAME,2023-02-19
28,img.tw.weibo.com,47.94.112.118,A,2023-02-19
29,game.weibo.com,w3.dpool.sina.com.cn.,CNAME,2023-02-18
30,wenjuan.lvcheng.weibo.com,w5.dpool.sina.com.cn.,CNAME,2023-02-18
31,q.dpool.weibo.com,180.149.138.238,A,2023-02-18
32,api.uve.weibo.com,36.51.224.20,A,2023-02-18
33,api.mapps.uve.weibo.com,123.126.45.190,A,2023-02-18
34,bop-outer.dpool.weibo.com,111.13.225.132,A,2023-02-18
35,data.weibo.com,w3.dpool.sina.com.cn.,CNAME,2023-02-18
36,mydata.weibo.com,data.weibo.com.,CNAME,2023-02-18
37,gzunistore.weibo.com,gz.unistore.weibo.com.,CNAME,2023-02-18
38,gz.unistore.weibo.com,36.51.254.239,A,2023-02-18
39,chaohua.weibo.com,lb.chaohua.weibo.com.,CNAME,2023-02-18
40,lb.chaohua.weibo.com,123.126.45.222,A,2023-02-18
41,push.mp.weibo.com,10.22.254.39,A,2023-02-18
42,api.weibo.com,36.51.224.49,A,2023-02-18
43,www.weibo.com,weibo.com.,CNAME,2023-02-18
44,weibo.com,36.51.224.53,A,2023-02-18
45,weibo.com,36.51.224.114,A,2023-02-18
46,discover.weibo.com,e.dpool.weibo.com.,CNAME,2023-02-18
47,e.dpool.weibo.com,180.149.134.142,A,2023-02-18
48,e.dpool.weibo.com,180.149.134.141,A,2023-02-18
49,tv.weibo.com,weiboproxy.dpool.sina.com.cn.,CNAME,2023-02-18
50,bd.admin.weibo.com,10.8.64.46,A,2023-02-18
51,bd.admin.weibo.com,10.8.64.76,A,2023-02-18
52,huati.weibo.com,lb.chaohua.weibo.com.,CNAME,2023-02-17
53,m.travel.weibo.com,travel.weibo.com.,CNAME,2023-02-17
54,travel.weibo.com,w3.dpool.sina.com.cn.,CNAME,2023-02-17
55,dpool.chaohua.weibo.com,lb.chaohua.weibo.com.,CNAME,2023-02-17
56,bxpool.biz.weibo.com,180.149.138.118,A,2023-02-17
57,sports.weibo.com,hongbao.dpool.weibo.com.,CNAME,2023-02-17
58,hongbao.dpool.weibo.com,36.51.224.64,A,2023-02-17
59,hygz.picupload.weibo.com,36.51.224.86,A,2023-02-17
60,club.weibo.com,180.149.138.235,A,2023-02-17
61,17ecovote.finance.weibo.com,w5.dpool.sina.com.cn.,CNAME,2023-02-17
62,shoptb.sc.weibo.com,alb00000024.dpool.sina.com.cn.,CNAME,2023-02-17
63,i.service.account.weibo.com,10.79.217.105,A,2023-02-17
64,wsrc.weibo.com,wsrc.applinzi.com.,CNAME,2023-02-13
65,qbird.media.weibo.com,weibo.cn.,CNAME,2023-02-13
66,feed.service.weibo.com,i.v6.api.weibo.cn.,CNAME,2023-02-13
67,wawa.weibo.com,alb00000044.dpool.sina.com.cn.,CNAME,2023-02-13
68,crm.darentong.weibo.com,crm.weimai.com.,CNAME,2023-02-13
69,vdisk.weibo.com,vdisksina2.appchizi.com.,CNAME,2023-02-13
70,pic.tongji.weibo.com,pictongji.gslb.sinaedge.com.,CNAME,2023-02-13
71,zhifu.game.weibo.com,w3.dpool.sina.com.cn.,CNAME,2023-02-13
72,skin.vip.weibo.com,alb00000015.dpool.sina.com.cn.,CNAME,2023-02-13
73,weibointl.api.weibo.com,weibo.cn.,CNAME,2023-02-08
74,fin.bop.weibo.com,111.13.225.132,A,2023-02-08
75,focus.weibo.com,common6.dpool.sina.com.cn.,CNAME,2023-02-08
76,verified.biz.weibo.com,alb00000039.dpool.sina.com.cn.,CNAME,2023-02-08
77,car.weibo.com,39.156.6.144,A,2023-02-08
78,c.weibo.com,alb00000024.dpool.sina.com.cn.,CNAME,2023-02-08
79,wbapp.uve.weibo.com,api.uve.weibo.com.,CNAME,2023-02-08
80,hygz.picupload.weibo.com,114.134.80.171,A,2023-02-08
81,picupload.weibo.com,gz.picupload.weibo.com.,CNAME,2023-02-08
82,gz.picupload.weibo.com,hygz.picupload.weibo.com.,CNAME,2023-02-08
83,newdmp.biz.weibo.com,g7.biz.weibo.com.,CNAME,2023-02-08
84,adimg.uve.weibo.com,admiguve.gslb.sinaedge.com.,CNAME,2023-02-08
85,ing.weibo.com,202.108.0.200,A,2023-02-08
86,fuwu.weibo.com,111.13.225.190,A,2023-02-08
87,i.api.uve.weibo.com,10.41.253.20,A,2023-02-08
88,i.api.uve.weibo.com,10.13.227.249,A,2023-02-08
89,i.api.uve.weibo.com,10.79.217.144,A,2023-02-08
90,pstatic.hd.weibo.com,pstatic.gslb.sinaedge.com.,CNAME,2023-02-08
91,hot.weibo.com,content.dpool.weibo.com.,CNAME,2023-02-07
92,content.dpool.weibo.com,180.149.134.21,A,2023-02-07
93,pcwbclick.uve.weibo.com,i.api.uve.weibo.com.,CNAME,2023-02-07
94,event.weibo.com,weibo.cn.,CNAME,2023-02-03
95,vipclub.weibo.com,alb00000041.dpool.sina.com.cn.,CNAME,2023-02-03
96,sec.weibo.com,sec.sina.com.cn.,CNAME,2023-02-03
97,passport.sc.weibo.com,935d14e62a38178c.vip.jiasule.org.,CNAME,2023-02-03
98,stock.weibo.com,card.dpool.sina.com.cn.,CNAME,2023-02-03
99,hr.zhaopin.weibo.com,59.151.119.135,A,2023-01-31
100,hr.zhaopin.weibo.com,59.151.119.137,A,2023-01-31
101,common.hd.weibo.com,49.7.36.184,A,2023-01-31
102,common.hd.weibo.com,123.126.45.94,A,2023-01-31
103,l.dpool.weibo.com,180.149.134.217,A,2023-01-31
104,w-209.service.weibo.com,123.125.104.209,A,2023-01-30
105,2013.weibo.com,127.0.0.1,A,2023-01-30
106,staffmx1.staff.weibo.com,219.142.118.239,A,2023-01-30
107,share.hk.weibo.com,218.213.85.210,A,2023-01-30
108,vdun.weibo.com,vdunopen.applinzi.com.,CNAME,2023-01-30
109,test.static.book.weibo.com,10.205.0.122,A,2023-01-30
110,eweibo.dpool.weibo.com,180.149.134.147,A,2023-01-30
111,neweibo.dpool.weibo.com,eweibo.dpool.weibo.com.,CNAME,2023-01-30
112,service.live.weibo.com,202.108.0.28,A,2023-01-30
113,xmpp.weibo.com,180.149.134.227,A,2023-01-30
114,lady.weibo.com,try.fashion.sina.com.cn.,CNAME,2023-01-30
115,hongbao.dpool.weibo.com,49.7.36.202,A,2023-01-30
116,wsrc.intra.weibo.com,wsrctest.applinzi.com.,CNAME,2023-01-29
117,image.storage.weibo.com,imagestorage.gslb.sinaedge.com.,CNAME,2023-01-29
118,face.vdun.weibo.com,123.126.56.23,A,2023-01-29
119,jianye.hd.weibo.com,common.hd.weibo.com.,CNAME,2023-01-29
120,n.dpool.weibo.com,180.149.134.224,A,2023-01-29
121,de.weibo.com,218.213.85.61,A,2023-01-29
122,pay.sc.weibo.com,alb00000044.dpool.sina.com.cn.,CNAME,2023-01-29
123,hongbao.dpool.weibo.com,49.7.36.23,A,2022-11-20
124,hongbao.dpool.weibo.com,49.7.36.34,A,2022-11-20
125,verified.weibo.com,mcn.dpool.sina.com.cn.,CNAME,2022-11-20
126,event.me.weibo.com,mcn.dpool.sina.com.cn.,CNAME,2022-11-20
127,faxian.weibo.com,e.dpool.weibo.com.,CNAME,2022-11-20
128,ir.weibo.com,weibocorporation.gcs-web.com.,CNAME,2022-11-20
129,weibo.com,36.51.226.13,A,2022-11-20
130,weibo.com,36.51.226.12,A,2022-11-20
131,wslive.api.weibo.com,139.9.137.198,A,2022-11-20
132,wslive.api.weibo.com,139.9.118.29,A,2022-11-20
133,wslive.api.weibo.com,124.70.105.17,A,2022-11-20
134,ws.live.weibo.com,wslive.api.weibo.com.,CNAME,2022-11-20
135,wslive.api.weibo.com,124.70.83.164,A,2022-11-20
136,wslive.api.weibo.com,124.70.102.89,A,2022-11-20
137,wslive.api.weibo.com,139.9.138.155,A,2022-11-20
138,qi.dpool.weibo.com,172.16.139.223,A,2022-11-20
139,h5.video.weibo.com,kuran.dpool.sina.com.cn.,CNAME,2022-11-20
140,kan.weibo.com,a.dpool.weibo.com.,CNAME,2022-11-19
141,index.weibo.com,data.weibo.com.,CNAME,2022-11-19
142,img.manhua.weibo.com,imgmanh.gslb.sinaedge.com.,CNAME,2022-11-19
143,huodong.weibo.com,hongbao.dpool.weibo.com.,CNAME,2022-11-19
144,rxjhz.game.weibo.com,common7.dpool.sina.com.cn.,CNAME,2022-11-19
145,mcn.weibo.com,mcn.dpool.sina.com.cn.,CNAME,2022-11-19
146,photo.weibo.com,weibo.cn.,CNAME,2022-11-19
147,adapp.biz.weibo.com,adapp.gslb.sinaedge.com.,CNAME,2022-11-19
148,pop.tw.weibo.com,210.17.38.55,A,2022-11-19
149,sina254-59.staff.weibo.com,36.51.254.59,A,2022-11-18
150,simg.s.weibo.com,simgs.gslb.sinaedge.com.,CNAME,2022-11-18
151,cai.weibo.com,w5.dpool.sina.com.cn.,CNAME,2022-11-18
152,mps.weibo.com,common.api.weibo.cn.,CNAME,2022-11-18
153,cheka.biz.weibo.com,g7.biz.weibo.com.,CNAME,2022-11-18
