#,Domain,Address,Type,Date
1,bk01.c3.xiaomi.com,bgp.bk01.c3.xiaomi.com.,CNAME,2023-02-23
2,jellyfish.pandora.xiaomi.com,coml7.pandora.xiaomi.com.,CNAME,2023-02-23
3,h9.market.xiaomi.com,h9.market.c.mgslb.com.,CNAME,2023-02-23
4,orig.cdn.xiaomi.com,bgp.orig.cdn.xiaomi.com.,CNAME,2023-02-23
5,miuiapi.pay.xiaomi.com,cname-app-com-amsproxy.w.mi-dun.com.,CNAME,2023-02-23
6,www.xiaomi.com,orig.cdn.xiaomi.com.,CNAME,2023-02-23
7,contract.shopapi.xiaomi.com,5-c3.mishop.bgp.neo.xiaomi.com.,CNAME,2023-02-23
8,tv.app.migc.xiaomi.com,extranet-alllines-gameunion-pri-c3-c4.alb.xiaomi.com.,CNAME,2023-02-23
9,gallery.pandora.xiaomi.com,g.pandora.xiaomi.com.,CNAME,2023-02-23
10,g.pandora.xiaomi.com,coml7.pandora.xiaomi.com.,CNAME,2023-02-23
11,f5.market.xiaomi.com,f.market.c.mgslb.com.,CNAME,2023-02-23
12,static.cdn.pandora.intl.xiaomi.com,static.cdn.pandora.intl.c.mgslb.com.,CNAME,2023-02-23
13,api.ad.intl.xiaomi.com,global-ad-intl-pri-alisgp.alb.xiaomi.com.,CNAME,2023-02-23
14,awssgp0-files.fds.api.xiaomi.com,lb-hadoop-fds-awssgp0-tcp-2002357776.ap-southeast-1.elb.amazonaws.com.,CNAME,2023-02-23
15,upgrade.mishop.pandora.xiaomi.com,c3.pandora.xiaomi.com.,CNAME,2023-02-23
16,matrix-pri-mbaws.alb.xiaomi.com,matrix-pri-mbaws-internet-238303091f072d1e.elb.ap-south-1.amazonaws.com.,CNAME,2023-02-23
17,m.app.xiaomi.com,cname-app-com-amsproxy.w.mi-dun.com.,CNAME,2023-02-23
18,unlock.pt.xiaomi.com,unlock.pt.xiaomi.com.v.mi-dun.com.,CNAME,2023-02-23
19,files.fds.api.xiaomi.com,lb-hadoop-fds-awssgp-orig-tcp-128618310.ap-southeast-1.elb.amazonaws.com.,CNAME,2023-02-23
20,mivideo.cdn.pandora.xiaomi.com,mivideo.cdn.pandora.xiaomi.com.mgslb.com.,CNAME,2023-02-23
21,ottimg.cdn.pandora.xiaomi.com,ottimg.cdn.pandora.xiaomi.com.cdn.dnsv1.com.,CNAME,2023-02-23
