#,Domain,Address,Type,Date
1,act.xiaoying.com,106.53.80.226,A,2023-02-18
2,account.xiaoying.com,134.175.159.168,A,2023-02-08
3,sso.xiaoying.com,129.204.99.76,A,2023-02-08
4,wallet.xiaoying.com,106.52.99.88,A,2023-02-07
5,pkg.xiaoying.com,pkg.xiaoying.com.cdn.dnsv1.com.cn.,CNAME,2023-01-31
6,vip.xiaoying.com,129.204.99.3,A,2023-01-30
7,vip2.xiaoying.com,129.204.99.3,A,2022-11-20
8,xiaoying.com,193.112.116.129,A,2022-11-16
9,cardloan.xiaoying.com,42.193.128.147,A,2022-11-16
10,www.xiaoying.com,134.175.159.212,A,2022-11-14
11,api.xiaoying.com,193.112.254.71,A,2022-11-14
12,zt.xiaoying.com,134.175.211.254,A,2022-11-10
13,hr.xiaoying.com,139.199.233.178,A,2022-11-09
14,pkg.xiaoying.com,pkg.xiaoying.com.cdn.dnsv1.com.,CNAME,2021-11-06
15,phapp.xiaoying.com,134.175.211.254,A,2021-11-06
16,open.xiaoying.com,111.230.85.242,A,2021-11-06
17,kadai.xiaoying.com,134.175.211.254,A,2021-11-05
18,dq.xiaoying.com,111.230.160.254,A,2021-11-05
19,b.xiaoying.com,123.207.112.44,A,2021-11-04
20,aso.xiaoying.com,139.199.233.178,A,2021-11-04
21,xiaoying.com,mxbiz2.qq.com.,MX,2021-11-03
22,xiaoying.com,mxbiz1.qq.com.,MX,2021-11-03
23,pkg.xiaoying.com,pkg.xiaoying.com.cdn.dnsv1.com,CNAME,2021-11-03
24,pkg.xiaoying.com,494842.p23.tc.cdntip.com,CNAME,2021-11-03
25,do.xiaoying.com,139.199.233.178,A,2021-11-03
26,xiaoying.com,mxbiz1.qq.com,MX,2021-10-03
27,xiaoying.com,mxbiz2.qq.com,MX,2021-10-03
28,cs.xiaoying.com,193.112.148.222,A,2021-09-25
29,cardloan.xiaoying.com,d6yiinzk.sched.d0.tdnsv5.com,CNAME,2021-09-03
30,cardloan.xiaoying.com,cardloan.xiaoying.com.dsa.dnsv1.com,CNAME,2021-09-02
31,cardloan.xiaoying.com,134.175.211.254,A,2021-08-15
