#,Domain,Address,Type,Date
1,searchera.ximalaya.com,searchera.ximalaya.com.dsa.dnsv1.com.,CNAME,2023-02-23
2,qf.ximalaya.com,qf.ximalaya.com.dsa.dnsv1.com.cn.,CNAME,2023-02-23
3,passporthera.ximalaya.com,passporthera.ximalaya.com.dsa.dnsv1.com.,CNAME,2023-02-23
4,mkids.ximalaya.com,mkids.ximalaya.com.dsa.dnsv1.com.,CNAME,2023-02-23
5,liveroom.ximalaya.com,liveroom.ximalaya.com.dsa.dnsv1.com.,CNAME,2023-02-23
6,search.ximalaya.com,search.ximalaya.com.dsa.dnsv1.com.,CNAME,2023-02-19
7,collectorbs.ctc.ximalaya.com,61.172.194.142,A,2023-02-18
8,collectorbs.ctc.ximalaya.com,61.172.194.144,A,2023-02-18
9,collectorbs.ctc.ximalaya.com,61.172.194.141,A,2023-02-18
10,collectorbs.ctc.ximalaya.com,61.172.194.148,A,2023-02-18
11,a.ximalaya.com,a.ximalaya.com.dsa.dnsv1.com.,CNAME,2023-02-18
12,mobilebs.ximalaya.com,mobilebs.ximalaya.com.dsa.dnsv1.com.,CNAME,2023-02-18
13,linkeye.ximalaya.com,114.80.139.237,A,2023-02-17
14,linkeye.ximalaya.com,114.80.161.19,A,2023-02-17
15,linkeye.ximalaya.com,61.172.194.149,A,2023-02-17
16,linkeye.ximalaya.com,180.153.255.122,A,2023-02-17
17,linkeye.ximalaya.com,61.172.194.147,A,2023-02-17
18,studio.ximalaya.com,studio.ximalaya.com.dsa.dnsv1.com.cn.,CNAME,2023-02-13
19,live.ximalaya.com,live.ximalaya.com.dsa.dnsv1.com.,CNAME,2023-02-13
20,www.ximalaya.com,www.ximalaya.com.dsa.dnsv1.com.cn.,CNAME,2023-02-13
21,shaoer.ximalaya.com,shaoer.ximalaya.com.dsa.dnsv1.com.,CNAME,2023-02-08
22,open.ximalaya.com,114.80.139.235,A,2023-02-08
23,cupload.ximalaya.com,cupload.ximalaya.com.dsa.dnsv1.com.,CNAME,2023-02-07
24,liteapp.ximalaya.com,liteapp.ximalaya.com.dsa.dnsv1.com.cn.,CNAME,2023-01-31
25,pns.ximalaya.com,pns.ximalaya.com.dsa.dnsv1.com.cn.,CNAME,2023-01-31
26,mpaybs.ximalaya.com,mpaybs.ximalaya.com.dsa.dnsv1.com.,CNAME,2023-01-31
27,www.biz-actvities.ximalaya.com,www.biz-actvities.ximalaya.com.w.kunluncan.com.,CNAME,2023-01-30
28,otbs.ctc.ximalaya.com,101.226.208.35,A,2023-01-30
29,otbs.ctc.ximalaya.com,101.226.208.33,A,2023-01-30
30,otbs.ctc.ximalaya.com,101.226.208.34,A,2023-01-30
31,api.ctc.ximalaya.com,114.80.99.72,A,2023-01-30
32,api.ctc.ximalaya.com,114.80.99.71,A,2023-01-30
33,api.ctc.ximalaya.com,114.80.99.73,A,2023-01-30
34,api.ctc.ximalaya.com,114.80.99.70,A,2023-01-30
35,api.ctc.ximalaya.com,114.80.99.74,A,2023-01-30
36,mobilebs.ctc.ximalaya.com,61.172.194.157,A,2023-01-30
37,mobilebs.ctc.ximalaya.com,61.172.194.162,A,2023-01-30
38,mobilebs.ctc.ximalaya.com,61.172.194.161,A,2023-01-30
39,mobilebs.ctc.ximalaya.com,61.172.194.156,A,2023-01-30
40,mobilebs.ctc.ximalaya.com,61.172.194.158,A,2023-01-30
41,mobilebs.ctc.ximalaya.com,61.172.194.160,A,2023-01-30
42,tech.ximalaya.com,114.80.143.4,A,2023-01-29
43,adwbs.ximalaya.com,adwbs.ximalaya.com.dsa.dnsv1.com.cn.,CNAME,2022-11-20
44,dubbing.ximalaya.com,dubbing.ximalaya.com.dsa.dnsv1.com.,CNAME,2022-11-20
45,api.ctc.ximalaya.com,114.80.161.29,A,2022-11-20
46,api.ctc.ximalaya.com,180.153.255.122,A,2022-11-20
47,api.ctc.ximalaya.com,114.80.161.19,A,2022-11-20
48,api.ctc.ximalaya.com,114.80.139.237,A,2022-11-20
49,api.ctc.ximalaya.com,114.80.139.227,A,2022-11-20
50,c.ctc.w.ximalaya.com,180.153.255.122,A,2022-11-20
51,c.ctc.w.ximalaya.com,114.80.139.237,A,2022-11-20
52,c.ctc.w.ximalaya.com,114.80.161.19,A,2022-11-20
53,c.ctc.w.ximalaya.com,61.172.194.147,A,2022-11-20
54,c.ctc.w.ximalaya.com,61.172.194.149,A,2022-11-20
55,collect.ctc.ximalaya.com,180.153.250.232,A,2022-11-20
56,collect.ctc.ximalaya.com,180.153.255.23,A,2022-11-20
57,collect.ctc.ximalaya.com,180.153.250.233,A,2022-11-20
58,collect.ctc.ximalaya.com,180.153.250.234,A,2022-11-20
59,collect.ctc.ximalaya.com,180.153.250.231,A,2022-11-20
