#,Domain,Address,Type,Date
1,appdownload.ys7.com,appdownload.ys7.com.ctdns.cn.,CNAME,2023-02-23
2,pb-store-pie-api.ys7.com,waf.ys7.com.,CNAME,2023-02-23
3,yscas.ys7.com,10.97.133.1,A,2023-02-19
4,ezaonedownload.ys7.com,61.130.6.23,A,2023-02-19
5,whhls5.ys7.com,119.96.203.214,A,2023-02-19
6,statics.ys7.com,statics.ys7.com.ctdns.cn.,CNAME,2023-02-19
7,test5square.ys7.com,122.225.228.217,A,2023-02-19
8,test14push-api.ys7.com,61.130.6.14,A,2023-02-19
9,weixin.ys7.com,183.136.184.26,A,2023-02-19
10,t1-store-api.ys7.com,183.134.109.170,A,2023-02-19
11,xav4.ys7.com,113.142.73.149,A,2023-02-19
12,cqvtdu60.ys7.com,113.250.0.213,A,2023-02-19
13,deviceupgrade-ucloud.ys7.com,099a4feb.cdn.ucloud.com.cn.,CNAME,2023-02-19
14,tencentclouddownhdlf.ys7.com,114.221.150.107,A,2023-02-18
15,fs.ys7.com,115.238.23.33,A,2023-02-18
16,testhk2.ys7.com,61.153.2.185,A,2023-02-18
17,open.xy.ys7.com,183.136.184.118,A,2023-02-18
18,vtmgz.ys7.com,59.37.129.215,A,2023-02-18
19,video.ys7.com,video.ys7.com.ctdns.cn.,CNAME,2023-02-18
20,saastest2open.ys7.com,183.134.109.178,A,2023-02-18
21,test14.ys7.com,61.130.6.27,A,2023-02-18
22,imgopen.ys7.com,183.136.184.232,A,2023-02-18
23,time.ys7.com,183.136.184.225,A,2023-02-18
24,test13push-api.ys7.com,61.130.6.13,A,2023-02-18
25,t5-store.ys7.com,183.134.109.170,A,2023-02-18
26,test5auth.ys7.com,122.225.228.217,A,2023-02-18
27,express.ys7.com,115.238.23.33,A,2023-02-18
28,t8-fs.ys7.com,183.134.109.170,A,2023-02-18
29,yshls.ys7.com,183.136.184.15,A,2023-02-18
30,pms.ys7.com,183.136.184.7,A,2023-02-18
31,t1-store.ys7.com,183.134.109.170,A,2023-02-18
32,cdnrndownload.ys7.com,cdnrndownload.ys7.com.ctdns.cn.,CNAME,2023-02-18
33,pbstore.ys7.com,waf.ys7.com.,CNAME,2023-02-18
34,waf.ys7.com,115.238.23.33,A,2023-02-18
35,test05-store.ys7.com,101.71.255.157,A,2023-02-18
36,wuhancloud.ys7.com,183.136.184.233,A,2023-02-18
37,dump.ys7.com,183.136.184.5,A,2023-02-18
38,test11open.ys7.com,61.130.6.21,A,2023-02-17
39,test15open.ys7.com,61.130.6.29,A,2023-02-17
40,tencentclouddownhd.ys7.com,114.221.146.166,A,2023-02-17
41,pangu.ys7.com,10.80.26.250,A,2023-02-17
42,test5.ys7.com,122.225.228.217,A,2023-02-17
43,netcheck.ys7.com,47.96.42.234,A,2023-02-17
44,t7-express.ys7.com,183.134.109.170,A,2023-02-17
45,qnpicdeco.ys7.com,183.134.99.215,A,2023-02-17
46,hzsqvtdu3.ys7.com,60.190.232.95,A,2023-02-17
