#,Domain,Address,Type,Date
1,hr.webank.com,42.194.174.177,A,2023-03-24
2,smewx.webank.com,109.244.67.135,A,2023-03-24
3,smewx.webank.com,109.244.71.228,A,2023-03-24
4,smewx.webank.com,109.244.67.24,A,2023-03-24
5,smewx.webank.com,109.244.71.110,A,2023-03-24
6,bspfp.test.webank.com,139.199.154.41,A,2023-03-23
7,_imap._tcp.cust28.rw.anaheim.anaheim.anaheim.bm.webproxy.ida.webank.com,199.59.148.102,A,2023-03-03
8,root.us.ftp2.cust28.webproxy.ida.webank.com,154.85.102.30,A,2023-03-02
9,card.webank.com,119.29.44.161,A,2023-03-02
10,card.webank.com,193.112.233.30,A,2023-03-02
11,webstore.cm.payroll.cust28.webproxy.ida.webank.com,199.16.156.40,A,2023-03-02
12,fdn.webank.com,106.53.111.99,A,2023-03-02
13,eio.webank.com,109.244.67.16,A,2023-03-02
14,eio.webank.com,109.244.67.134,A,2023-03-02
15,engineering.cust93.windows02.net.3.webproxy.ida.webank.com,173.236.182.137,A,2023-03-02
16,_sip._udp.cust12.saturn.webproxy.ida.webank.com,108.160.167.174,A,2023-03-02
17,_ceph._tcp.pc46.software.cust93.skywalker.online.lv.webproxy.ida.webank.com,128.242.250.157,A,2023-03-02
18,gandalf.cust93.payroll.pc43.anaheim.payroll.windows02.pc43.lab.webproxy.ida.webank.com,199.59.149.244,A,2023-03-02
19,smewyd.webank.com,109.244.71.110,A,2023-03-01
20,smewyd.webank.com,109.244.67.135,A,2023-03-01
21,smewyd.webank.com,109.244.67.24,A,2023-03-01
22,smewyd.webank.com,109.244.71.228,A,2023-03-01
23,qq.webank.com,109.244.71.81,A,2023-03-01
24,qq.webank.com,109.244.71.208,A,2023-03-01
25,hr.webank.com,2402:4e00:1013:9000:0:93e6:27fc:8f62,AAAA,2023-02-23
26,card.test.webank.com,2402:4e00:1010:3402:0:9082:8cb0:fd07,AAAA,2023-02-23
27,_imap._tcp.cust28.rw.anaheim.anaheim.anaheim.bm.webproxy.ida.webank.com,2001::1f0d:5a04,AAAA,2023-02-23
28,root.us.ftp2.cust28.webproxy.ida.webank.com,2001::1f0d:4415,AAAA,2023-02-23
29,webstore.cm.payroll.cust28.webproxy.ida.webank.com,2001::c765:8592,AAAA,2023-02-23
30,engineering.cust93.windows02.net.3.webproxy.ida.webank.com,2001::1f0d:5805,AAAA,2023-02-23
31,_sip._udp.cust12.saturn.webproxy.ida.webank.com,2001::cc9b:9273,AAAA,2023-02-23
32,_ceph._tcp.pc46.software.cust93.skywalker.online.lv.webproxy.ida.webank.com,2001::45ab:ed15,AAAA,2023-02-23
33,gandalf.cust93.payroll.pc43.anaheim.payroll.windows02.pc43.lab.webproxy.ida.webank.com,2001::8079:f3e4,AAAA,2023-02-23
34,tracev6.webank.com,2402:4e00:4011:1409::14,AAAA,2023-02-23
35,tracev6.webank.com,2402:4e00:4011:150b::14,AAAA,2023-02-23
36,weidentity.webank.com,dnspod-vip4.beian.mydnspod.net.,CNAME,2023-02-22
37,w.webank.com,193.112.233.30,A,2023-02-19
38,w.webank.com,119.29.44.161,A,2023-02-19
39,_imap._tcp.cust28.rw.anaheim.anaheim.anaheim.bm.webproxy.ida.webank.com,69.171.224.40,A,2023-02-19
40,root.us.ftp2.cust28.webproxy.ida.webank.com,128.242.240.218,A,2023-02-18
41,webstore.cm.payroll.cust28.webproxy.ida.webank.com,108.160.169.181,A,2023-02-18
42,engineering.cust93.windows02.net.3.webproxy.ida.webank.com,199.59.149.238,A,2023-02-18
43,_sip._udp.cust12.saturn.webproxy.ida.webank.com,199.59.148.209,A,2023-02-18
