#,Domain,Address,Type,Date
1,dxxxgk.tongji.edu.cn,222.66.109.32,A,2023/2/9
2,dxxxgk.tongji.edu.cn,202.120.188.98,A,2023/2/9
3,caup-tlab.tongji.edu.cn,202.120.188.98,A,2023/2/8
4,caup-tlab.tongji.edu.cn,222.66.109.32,A,2023/2/8
5,bidl.tongji.edu.cn,222.66.109.32,A,2023/2/8
6,bidl.tongji.edu.cn,202.120.188.98,A,2023/2/8
7,yktzf.tongji.edu.cn,202.120.188.122,A,2023/2/8
8,cdc.tongji.edu.cn,202.120.188.98,A,2023/2/8
9,cdc.tongji.edu.cn,222.66.109.32,A,2023/2/8
10,isces.tongji.edu.cn,222.66.109.32,A,2023/2/8
11,isces.tongji.edu.cn,202.120.188.98,A,2023/2/8
12,cnce.tongji.edu.cn,202.120.188.98,A,2023/2/8
13,cnce.tongji.edu.cn,222.66.109.32,A,2023/2/8
14,cal.tongji.edu.cn,202.120.167.127,A,2023/2/8
15,ai.tongji.edu.cn,202.120.188.98,A,2023/2/8
16,ai.tongji.edu.cn,222.66.109.32,A,2023/2/8
17,peces.tongji.edu.cn,202.120.188.98,A,2023/2/8
18,peces.tongji.edu.cn,222.66.109.32,A,2023/2/8
19,3slab.tongji.edu.cn,222.66.109.32,A,2023/2/8
20,3slab.tongji.edu.cn,202.120.188.98,A,2023/2/8
21,jzdu.tongji.edu.cn,222.66.109.32,A,2023/2/7
22,jzdu.tongji.edu.cn,202.120.188.98,A,2023/2/7
23,caup-lab.tongji.edu.cn,2001:da8:b8:67:192:168:67:3,AAAA,2023/2/3
24,caup-lab.tongji.edu.cn,2001:da8:b8:66:192:168:66:4,AAAA,2023/2/3
25,dxxxgk.tongji.edu.cn,2001:da8:b8:66:192:168:66:4,AAAA,2023/2/3
26,dxxxgk.tongji.edu.cn,2001:da8:b8:67:192:168:67:3,AAAA,2023/2/3
27,comm.tongji.edu.cn,2001:da8:b8:66:192:168:66:4,AAAA,2023/2/3
28,comm.tongji.edu.cn,2001:da8:b8:67:192:168:67:3,AAAA,2023/2/3
29,tjurban.tongji.edu.cn,2001:da8:b8:66:192:168:66:4,AAAA,2023/2/3
30,tjurban.tongji.edu.cn,2001:da8:b8:67:192:168:67:3,AAAA,2023/2/3
31,cdc.tongji.edu.cn,2001:da8:b8:66:192:168:66:4,AAAA,2023/2/3
32,cdc.tongji.edu.cn,2001:da8:b8:67:192:168:67:3,AAAA,2023/2/3
33,cnce.tongji.edu.cn,2001:da8:b8:67:192:168:67:3,AAAA,2023/2/3
34,cnce.tongji.edu.cn,2001:da8:b8:66:192:168:66:4,AAAA,2023/2/3
35,ai.tongji.edu.cn,2001:da8:b8:66:192:168:66:4,AAAA,2023/2/3
36,ai.tongji.edu.cn,2001:da8:b8:67:192:168:67:3,AAAA,2023/2/3
37,stru-en.tongji.edu.cn,222.66.109.32,A,2023/1/31
38,stru-en.tongji.edu.cn,202.120.188.98,A,2023/1/31
39,tjis2.tongji.edu.cn,202.120.189.190,A,2023/1/30
40,vod-api.tongji.edu.cn,202.120.188.121,A,2023/1/30
41,clrc.tongji.edu.cn,222.66.109.32,A,2023/1/30
42,clrc.tongji.edu.cn,202.120.188.98,A,2023/1/30
43,sqxia.tongji.edu.cn,202.120.188.98,A,2023/1/30
44,sqxia.tongji.edu.cn,222.66.109.32,A,2023/1/30
45,ddms.tongji.edu.cn,222.66.109.32,A,2023/1/30
46,ddms.tongji.edu.cn,202.120.188.98,A,2023/1/30
47,deepsea.tongji.edu.cn,222.66.109.32,A,2023/1/30
48,deepsea.tongji.edu.cn,202.120.188.98,A,2023/1/30
49,phylab.tongji.edu.cn,222.66.109.32,A,2023/1/30
50,phylab.tongji.edu.cn,202.120.188.98,A,2023/1/30
51,gpei.tongji.edu.cn,202.120.188.98,A,2023/1/30
52,gpei.tongji.edu.cn,222.66.109.32,A,2023/1/30
53,firesafety.tongji.edu.cn,222.66.109.32,A,2023/1/30
54,firesafety.tongji.edu.cn,202.120.188.98,A,2023/1/30
55,cadd.tongji.edu.cn,202.120.188.98,A,2023/1/30
56,cadd.tongji.edu.cn,222.66.109.32,A,2023/1/30
57,prefabcenter.tongji.edu.cn,222.66.109.32,A,2023/1/30
